,transcript,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
252,uc003iqj.3,['G2555.1'],,,uc003iqj.3,chr4,-,164049822,164088073,164050048,164087879,8,"164049822,164054305,164058350,164061374,164066933,164069492,164085368,164087514,","164050500,164054408,164058402,164061535,164067016,164069586,164085543,164088073,",Q96HR8,uc003iqj.3,56769,uc003iqj.3,NM_138386,Q96HR8,NAF1_HUMAN,NAF1,NM_138386,NP_612395,"Homo sapiens nuclear assembly factor 1 ribonucleoprotein (NAF1), transcript variant 1, mRNA.",,
253,uc003vcv.4,['G3227.1'],,,uc003vcv.4,chr7,-,104756820,105029377,104758284,105029253,16,"104756820,104766694,104767439,104773237,104773450,104782454,104783530,104785729,104786939,104800953,104807823,104808454,104809603,104844074,105029094,105029237,","104758469,104766787,104767509,104773345,104773551,104782937,104783777,104785755,104787105,104801060,104807911,104808542,104809712,104844232,105029149,105029377,",P78362-2,uc003vcv.4,71312,uc003vcv.4,NM_182692,P78362-2,P78362-2,SRPK2,NM_182692,NP_872634,"Homo sapiens SRSF protein kinase 2 (SRPK2), transcript variant 1, mRNA.",,
254,uc001kmo.3,['G366.1'],,,uc001kmo.3,chr10,-,98353068,98392998,98355333,98392816,10,"98353068,98362036,98363735,98369468,98376395,98380108,98383228,98386464,98388154,98392644,","98355391,98362155,98363806,98369624,98376468,98380314,98383294,98386662,98388250,98392998,",Q6ZUJ8-3,uc001kmo.3,10498,uc001kmo.3,BC029917,Q6ZUJ8-3,Q6ZUJ8-3,PIK3AP1,NM_152309,NP_689522,"Homo sapiens phosphoinositide-3-kinase adaptor protein 1 (PIK3AP1), mRNA.",,
255,uc002fmy.2,['G1382.1' 'G1383.1' 'G1384.1' 'G1389.1'],['G1135.1'],,uc002fmy.2,chr16,-,89334028,89556969,89334885,89383427,14,"89334028,89337224,89341221,89341500,89345479,89352446,89354935,89357032,89357420,89371613,89383340,89484691,89497663,89556652,","89335071,89337317,89341365,89341599,89352057,89352594,89355078,89357236,89357591,89371752,89383486,89484776,89497734,89556969,",Q6UB99,uc002fmy.2,29771,uc002fmy.2,NM_001256182,Q6UB99,ANR11_HUMAN,ANKRD11,NM_001256182,NP_037407,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 1, mRNA.",,
256,uc003hzd.4,['G2533.1'],,,uc003hzd.4,chr4,-,109731876,110223523,109731876,109731876,36,"109731876,109733859,109738552,109740967,109745329,109746351,109748290,109753535,109755510,109762850,109765674,109766344,109767338,109769914,109773391,109774057,109780811,109782082,109783656,109784474,109790243,109805333,109810376,109810856,109817822,109820309,109822274,109839327,109841733,109895522,109895688,109931513,109971282,110221738,110222878,110223458,","109733412,109735085,109738591,109741054,109745383,109746378,109748344,109753589,109755546,109762877,109765725,109766407,109767375,109769959,109773436,109774081,109780889,109782127,109783701,109784543,109790306,109805378,109810412,109810889,109817867,109820336,109822328,109839372,109841760,109895549,109895715,109931531,109971335,110221808,110223231,110223523,",uc003hzd.4,,56465,uc003hzd.4,NR_045756,,,COL25A1,NR_045756,,"Homo sapiens collagen, type XXV, alpha 1 (COL25A1), transcript variant 4, non-coding RNA.",,
257,uc003pdm.2,['G2854.1'],['G2294.1'],,uc003pdm.2,chr6,+,56954807,57035098,56955051,57033267,15,"56954807,56955608,56963858,56989531,56993526,56997839,56999541,57006099,57006745,57011887,57015516,57017018,57018658,57025881,57033220,","56955072,56955692,56963939,56989657,56993638,56997990,56999668,57006253,57006893,57013491,57015660,57017149,57018845,57025950,57035098,",Q9Y4E5,uc003pdm.2,61411,uc003pdm.2,NM_001031623,Q9Y4E5,ZN451_HUMAN,ZNF451,NM_001031623,NP_001026794,"Homo sapiens zinc finger protein 451 (ZNF451), transcript variant 1, mRNA.",,
258,uc003slg.1,['G3186.1'],,,uc003slg.1,chr7,-,1855427,2272583,1855705,2269768,19,"1855427,1937835,1976322,1997263,2020087,2041699,2054136,2108828,2188786,2252846,2255519,2255791,2257596,2258966,2262209,2265044,2269618,2270183,2272506,","1855864,1938026,1976533,1997354,2020176,2041756,2054277,2108973,2188873,2252908,2255634,2255922,2257678,2259091,2262389,2265185,2269778,2270359,2272583,",Q9Y6D9,uc003slg.1,70115,uc003slg.1,NM_001013837,Q9Y6D9,MD1L1_HUMAN,MAD1L1,NM_001013837,NP_003541,"Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1), transcript variant 3, mRNA.",,
259,uc003ysa.2,['G3456.1' 'G3457.1' 'G3460.1' 'G3460.2' 'G3461.1'],"['G2839.1' 'G2843.1' 'G2847.1' 'G2848.1' 'G2848.2' 'G2853.1' 'G2854.1'
 'G2854.2' 'G2854.3' 'G2854.4' 'G2855.1']",,uc003ysa.2,chr8,-,128219628,128231333,128219628,128219628,2,"128219628,128231054,","128221962,128231333,",uc003ysa.2,,74087,uc003ysa.2,JX003870,,,CCAT1,,,"Homo sapiens cDNA FLJ43320 fis, clone NT2RI2024935.",,
260,uc004csr.3,['G3682.1'],,,uc004csr.3,chrX,+,9433200,9687780,9621626,9684286,18,"9433200,9469819,9608312,9621584,9622254,9652082,9656056,9659618,9660152,9661188,9661361,9665408,9673032,9677287,9677672,9679650,9682941,9684259,","9433487,9469889,9608400,9621729,9622362,9652228,9656315,9659751,9660294,9661252,9661459,9665469,9673154,9677362,9677800,9679816,9683043,9687780,",O60907,uc004csr.3,77680,uc004csr.3,NM_005647,O60907,TBL1X_HUMAN,TBL1X,NM_005647,NP_001132940,"Homo sapiens transducin (beta)-like 1X-linked (TBL1X), transcript variant 1, mRNA.",,
261,uc003nim.2,['G2933.1'],,,uc003nim.2,chr6,-,26839265,26924333,26839265,26839265,9,"26839265,26839902,26846478,26851121,26853137,26856788,26892898,26918864,26924167,","26839358,26840029,26846614,26851296,26853222,26856976,26893054,26918938,26924333,",uc003nim.2,,62489,uc003nim.2,NR_003504,,,GUSBP2,NR_003504,,"Homo sapiens glucuronidase, beta pseudogene 2 (GUSBP2), non-coding RNA.",,
262,uc003jhi.2,['G2746.1'],,,uc003jhi.2,chr5,-,31410852,31532282,31410853,31529166,29,"31410852,31421378,31422893,31424533,31429581,31431682,31435871,31437345,31448653,31449387,31451639,31464342,31466288,31468045,31472169,31483660,31484987,31486597,31493313,31495392,31504661,31508727,31511141,31515094,31521229,31526185,31529146,31530904,31532096,","31410994,31421484,31423051,31424578,31429652,31431785,31435971,31437405,31448714,31449526,31451747,31464450,31466388,31468170,31472339,31483735,31485069,31486669,31493400,31495479,31504742,31508882,31511283,31515326,31521322,31527019,31529212,31531031,31532282,",E7EMP9,uc003jhi.2,58797,uc003jhi.2,BC054003,E7EMP9,E7EMP9_HUMAN,DROSHA,NM_001100412,NP_001093882,"Homo sapiens drosha, ribonuclease type III (DROSHA), transcript variant 2, mRNA.",,
263,uc001iyv.4,['G343.1'],,,uc001iyv.4,chr10,+,35539449,35860847,35772339,35858098,11,"35539449,35744284,35772331,35790428,35805450,35814891,35818900,35819051,35841946,35854950,35857981,","35539554,35744391,35772406,35790463,35805551,35814927,35818958,35819171,35842113,35855113,35860847,",NP_859049,uc001iyv.4,8116,uc001iyv.4,BC143455,Q8ND76,CCNY_HUMAN,CCNY,NM_181698,NP_859049,"Homo sapiens cyclin Y (CCNY), transcript variant 2, mRNA.",,
264,uc011bbf.1,['G2334.1'],,,uc011bbf.1,chr3,-,47917174,48130769,47917174,48040350,9,"47917174,47918906,47956306,47957440,47960208,47963254,47969717,48040127,48130262,","47917390,47919013,47956429,47958664,47960331,47963368,47969840,48040369,48130769,",P27816,uc011bbf.1,52540,uc011bbf.1,AK297242,P27816,MAP4_HUMAN,MAP4,NM_001134364,NP_001127836,"Homo sapiens microtubule-associated protein 4 (MAP4), transcript variant 4, mRNA.",,
265,uc002aea.3,['G1179.1'],,,uc002aea.3,chr15,+,57210832,57580714,57212111,57574785,21,"57210832,57212099,57213223,57355947,57383986,57458599,57484355,57489970,57523349,57524488,57524909,57526240,57535669,57543547,57544618,57545459,57554291,57555309,57565227,57574642,57578354,","57211104,57212186,57213296,57356021,57384089,57458664,57484491,57490023,57523455,57524628,57525054,57526305,57535748,57543621,57544690,57545666,57554406,57555472,57565460,57574796,57580714,",Q99081-3,uc002aea.3,24033,uc002aea.3,NM_207036,Q99081-3,Q99081-3,TCF12,NM_207036,NP_996920,"Homo sapiens transcription factor 12 (TCF12), transcript variant 1, mRNA.",,
266,uc010bxf.3,['G1269.1'],['G1041.1'],,uc010bxf.3,chr16,+,22448328,22503541,22448328,22448328,29,"22448328,22466022,22466770,22470675,22472107,22473441,22477013,22477517,22478511,22480343,22482948,22485445,22486269,22490011,22490296,22491584,22492174,22492351,22493072,22493764,22494351,22494716,22495982,22497150,22497441,22500526,22501615,22502137,22503027,","22448813,22466186,22466926,22470812,22472163,22473655,22477139,22477590,22478609,22480516,22483173,22485547,22486539,22490142,22490452,22491703,22492262,22492453,22493213,22493964,22494548,22494881,22496137,22497293,22497643,22500636,22501763,22502297,22503541,",uc010bxf.3,,27257,uc010bxf.3,NR_027154,,,SMG1P1,NR_027154,,"Homo sapiens smg-1 homolog, phosphatidylinositol 3-kinase-related kinase pseudogene 1 (SMG1P1), non-coding RNA.",,
267,uc001kmq.3,['G366.1'],,,uc001kmq.3,chr10,-,98353068,98480279,98355333,98480151,17,"98353068,98362036,98363735,98369468,98376395,98380108,98383228,98386464,98388154,98405229,98408415,98411004,98411265,98412454,98416554,98469323,98480138,","98355391,98362155,98363806,98369624,98376468,98380314,98383294,98386662,98388250,98405419,98408612,98411137,98411408,98412599,98416691,98469740,98480279,",Q6ZUJ8,uc001kmq.3,10496,uc001kmq.3,NM_152309,Q6ZUJ8,BCAP_HUMAN,PIK3AP1,NM_152309,NP_689522,"Homo sapiens phosphoinositide-3-kinase adaptor protein 1 (PIK3AP1), mRNA.",,
268,uc011bbd.1,['G2333.1'],,,uc011bbd.1,chr3,-,47627377,47823596,47629698,47787471,28,"47627377,47632150,47651555,47663696,47676679,47677511,47680214,47702783,47703823,47712147,47716964,47718118,47719687,47721926,47727538,47730876,47734730,47742767,47747898,47752172,47755904,47762155,47770514,47777523,47779518,47787397,47814306,47823511,","47629796,47632327,47651817,47663831,47676834,47677626,47680270,47702945,47704082,47712207,47717078,47718272,47719801,47721998,47727660,47730914,47734790,47742892,47748020,47752298,47755980,47762225,47770584,47777616,47779600,47787483,47814426,47823596,",Q92922,uc011bbd.1,52535,uc011bbd.1,AK302541,Q92922,SMRC1_HUMAN,SMARCC1,NM_003074,NP_003065,"Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1 (SMARCC1), mRNA.",,
269,uc001hgl.3,['G136.1'],,,uc001hgl.3,chr1,+,207925382,207968861,207925557,207963649,12,"207925382,207930358,207930884,207932983,207934593,207940357,207943665,207956636,207958415,207958963,207963597,207966863,","207925654,207930547,207930987,207933069,207934791,207940540,207943707,207956675,207958451,207959027,207963690,207968861,",P15529-12,uc001hgl.3,3492,uc001hgl.3,NM_172352,P15529-12,P15529-12,CD46,NM_172352,NP_758862,"Homo sapiens CD46 molecule, complement regulatory protein (CD46), transcript variant e, mRNA.",,
270,uc003esa.2,['G2279.1'],,,uc003esa.2,chr3,+,137906114,138017228,137907369,138014734,23,"137906114,137907296,137928658,137940767,137942230,137942477,137947759,137953875,137956150,137956323,137958309,137960624,137963929,137982580,137982972,137985996,137988881,137991808,137993290,138003272,138007889,138009387,138014700,","137906441,137907372,137928735,137940839,137942373,137942575,137947852,137953956,137956226,137956414,137958370,137960825,137964025,137982663,137983054,137986083,137988974,137991958,137993386,138003368,138007962,138009481,138017228,",Q8IUR7-2,uc003esa.2,51448,uc003esa.2,NM_015396,Q8IUR7-2,Q8IUR7-2,ARMC8,NM_015396,NP_056211,"Homo sapiens armadillo repeat containing 8 (ARMC8), transcript variant 2, mRNA.",,
271,uc002isp.2,['G1442.1'],['G1167.1'],,uc002isp.2,chr17,+,48796925,48822174,48796925,48796925,9,"48796925,48814320,48814647,48815497,48817666,48818462,48819017,48821066,48822012,","48797192,48814387,48814840,48815560,48817706,48818607,48819092,48821171,48822174,",uc002isp.2,,31263,uc002isp.2,BC056409,,,LUC7L3,,,"Homo sapiens LUC7-like 3 (S. cerevisiae) (LUC7L3), transcript variant 2, mRNA.",,
272,uc002kcn.3,['G1529.1'],,,uc002kcn.3,chr17,-,79876144,79885587,79880480,79881061,3,"79876144,79881025,79885403,","79880933,79881090,79885587,",O15525,uc002kcn.3,34142,uc002kcn.3,NM_002359,O15525,MAFG_HUMAN,MAFG,NM_002359,NP_116100,"Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) (MAFG), transcript variant 1, mRNA.",,
273,uc003sli.1,['G3186.1'],,,uc003sli.1,chr7,-,1855427,2272583,1855705,2262265,17,"1855427,1937835,1976322,1997263,2020087,2041699,2054136,2108828,2188786,2252846,2255519,2255791,2257596,2258966,2260518,2262209,2272506,","1855864,1938026,1976533,1997354,2020176,2041756,2054277,2108973,2188873,2252908,2255634,2255922,2257678,2259091,2260657,2262389,2272583,",B3KR41,uc003sli.1,70117,uc003sli.1,AX746704,B3KR41,B3KR41_HUMAN,MAD1L1,,,"Homo sapiens MAD1 mitotic arrest deficient-like 1 (yeast) (MAD1L1), transcript variant 3, mRNA.",,
274,uc003esc.2,['G2279.1'],,,uc003esc.2,chr3,+,137956120,138017228,137956364,138014734,14,"137956120,137958309,137960624,137963929,137982580,137982972,137985996,137988881,137991808,137993290,138003272,138007889,138009387,138014700,","137956414,137958370,137960825,137964025,137982663,137983054,137986083,137988974,137991958,137993386,138003368,138007962,138009481,138017228,",Q8IUR7,uc003esc.2,51456,uc003esc.2,AK001882,Q8IUR7,ARMC8_HUMAN,ARMC8,,,"Homo sapiens armadillo repeat containing 8 (ARMC8), transcript variant 6, non-coding RNA.",,
275,uc010iqw.1,['G2555.1'],,,uc010iqw.1,chr4,-,164047859,164088073,164048130,164087879,8,"164047859,164054305,164058350,164061374,164066933,164069492,164085368,164087514,","164048267,164054408,164058402,164061535,164067016,164069586,164085543,164088073,",E9PAZ2,uc010iqw.1,56770,uc010iqw.1,NM_001128931,E9PAZ2,E9PAZ2_HUMAN,NAF1,NM_001128931,NP_001122403,"Homo sapiens nuclear assembly factor 1 ribonucleoprotein (NAF1), transcript variant 2, mRNA.",,
276,uc031qgg.1,['G877.1' 'G878.1'],['G729.1'],,uc031qgg.1,chr12,-,11033559,11324224,11034833,11036816,7,"11033559,11034815,11035659,11036752,11126253,11199618,11324020,","11033655,11035297,11035695,11036874,11126320,11199787,11324224,",P02810,uc031qgg.1,17759,uc031qgg.1,BC064553,P02810,PRPC_HUMAN,PRH1-PRR4,NM_006250,NP_006241,"Homo sapiens PRH1-PRR4 readthrough (PRH1-PRR4), non-coding RNA.",,
277,uc010kyl.4,['G3103.1'],,,uc010kyl.4,chr7,+,44836240,44842716,44839070,44841021,6,"44836240,44838346,44838845,44838990,44839300,44840885,","44836392,44838503,44838876,44839079,44839473,44842716,",P62937,uc010kyl.4,68568,uc010kyl.4,AK293003,P62937,PPIA_HUMAN,PPIA,,,"Homo sapiens peptidylprolyl isomerase A (cyclophilin A) (PPIA), mRNA.",,
278,uc003hzf.4,['G2533.1'],,,uc003hzf.4,chr4,-,109745037,110223231,109745245,110223175,33,"109745037,109748290,109753535,109755510,109759253,109762850,109765674,109766344,109767294,109769914,109773391,109780811,109782082,109784474,109790243,109805333,109810376,109810856,109817822,109820309,109822274,109839327,109841733,109858963,109861694,109863364,109895522,109895688,109931513,109969323,109971290,110221738,110222878,","109745383,109748344,109753589,109755546,109759334,109762877,109765725,109766407,109767375,109769959,109773436,109780889,109782127,109784543,109790306,109805378,109810412,109810889,109817867,109820336,109822328,109839372,109841760,109858999,109861802,109863424,109895549,109895715,109931531,109969331,109971335,110221808,110223231,",A8MWQ5,uc003hzf.4,56469,uc003hzf.4,CCDS58922,A8MWQ5,A8MWQ5_HUMAN,COL25A1,NM_001256074,NP_001243003,"Homo sapiens collagen, type XXV, alpha 1 (COL25A1), transcript variant 3, mRNA.",,
279,uc009ysh.3,['G649.1'],,,uc009ysh.3,chr11,+,68228185,68382801,68305132,68382145,23,"68228185,68272612,68286968,68305126,68312305,68315534,68318588,68321612,68326033,68331770,68337215,68338507,68341576,68343425,68355394,68358127,68359043,68363564,68367808,68369330,68370809,68377371,68382099,","68228295,68272717,68287119,68305359,68312492,68315672,68318654,68321725,68326147,68331900,68337365,68338572,68341692,68343511,68355492,68358182,68359174,68363686,68367962,68369437,68370960,68377491,68382801,",Q5H9R7-3,uc009ysh.3,12378,uc009ysh.3,NM_001164164,Q5H9R7-3,Q5H9R7-3,PPP6R3,NM_001164164,NP_001157636,"Homo sapiens protein phosphatase 6, regulatory subunit 3 (PPP6R3), transcript variant 3, mRNA.",,
280,uc004eaa.2,['G3707.1' 'G3707.2'],,,uc004eaa.2,chrX,+,70752911,70795747,70753149,70793644,22,"70752911,70756027,70757678,70764416,70767756,70774362,70775039,70775803,70776529,70776801,70777044,70777342,70779116,70779437,70781624,70782696,70782979,70783178,70784450,70787349,70787842,70793469,","70753186,70756208,70757922,70764485,70767873,70774442,70775235,70775944,70776630,70776955,70777146,70777522,70779275,70779527,70781750,70782867,70783096,70783349,70784603,70787602,70787966,70795747,",O15294,uc004eaa.2,78382,uc004eaa.2,NM_181672,O15294,OGT1_HUMAN,OGT,NM_181672,NP_858058,"Homo sapiens O-linked N-acetylglucosamine (GlcNAc) transferase (OGT), transcript variant 1, mRNA.",,
281,uc002fnh.1,['G1389.1'],,,uc002fnh.1,chr16,+,89497374,89520902,89497374,89497374,3,"89497374,89510647,89519665,","89497753,89510799,89520902,",uc002fnh.1,,28348,uc002fnh.1,AK097694,,,AK097694,,,"Homo sapiens cDNA FLJ40375 fis, clone TESTI2035084.",,
282,uc021vex.1,['G1741.1'],,,uc021vex.1,chr2,+,27273649,27273738,27273649,27273649,1,"27273649,","27273738,",uc021vex.1,,81323,uc021vex.1,,,,TRNA_Tyr,,,transfer RNA Tyr (anticodon GTA),,chr2.tRNA2-TyrGTA
283,uc031sik.1,['G2566.1'],,,uc031sik.1,chr5,+,271735,315089,271835,314533,4,"271735,272825,304291,314531,","271936,272887,304336,315089,",E7ESR3,uc031sik.1,56979,uc031sik.1,NM_001267559,E7ESR3,E7ESR3_HUMAN,PDCD6,NM_001267559,NP_001254488,"Homo sapiens programmed cell death 6 (PDCD6), transcript variant 5, mRNA.",,
284,uc001hgj.3,['G136.1'],,,uc001hgj.3,chr1,+,207925382,207968861,207925557,207966936,13,"207925382,207930358,207930884,207932983,207934593,207940357,207940951,207941123,207943665,207956636,207958415,207958963,207966863,","207925654,207930547,207930987,207933069,207934791,207940540,207940996,207941168,207943707,207956675,207958451,207959027,207968861,",P15529-2,uc001hgj.3,3490,uc001hgj.3,NM_172359,P15529-2,P15529-2,CD46,NM_172359,NP_758869,"Homo sapiens CD46 molecule, complement regulatory protein (CD46), transcript variant b, mRNA.",,
285,uc004eab.2,['G3707.1' 'G3707.2'],,,uc004eab.2,chrX,+,70752911,70795747,70753149,70793644,22,"70752911,70756057,70757678,70764416,70767756,70774362,70775039,70775803,70776529,70776801,70777044,70777342,70779116,70779437,70781624,70782696,70782979,70783178,70784450,70787349,70787842,70793469,","70753186,70756208,70757922,70764485,70767873,70774442,70775235,70775944,70776630,70776955,70777146,70777522,70779275,70779527,70781750,70782867,70783096,70783349,70784603,70787602,70787966,70795747,",O15294-3,uc004eab.2,78383,uc004eab.2,NM_181673,O15294-3,O15294-3,OGT,NM_181673,NP_858059,"Homo sapiens O-linked N-acetylglucosamine (GlcNAc) transferase (OGT), transcript variant 2, mRNA.",,
286,uc009xce.3,['G134.1' 'G134.2'],['G104.1' 'G105.1'],,uc009xce.3,chr1,+,207494816,207534311,207495110,207527425,11,"207494816,207495726,207497903,207498966,207500096,207504452,207510037,207510673,207512741,207527351,207532890,","207495210,207495912,207498095,207499066,207500182,207504641,207510163,207510754,207512762,207527444,207534311,",Q14UF4,uc009xce.3,3472,uc009xce.3,AB240568,Q14UF4,Q14UF4_HUMAN,CD55,NM_000574,NP_000565,"Homo sapiens CD55 molecule, decay accelerating factor for complement (Cromer blood group) (CD55), transcript variant 1, mRNA.",,
287,uc003umx.1,['G3126.1' 'G3127.1'],,,uc003umx.1,chr7,+,93220884,93540384,93220884,93220884,4,"93220884,93515817,93536047,93538794,","93221083,93515861,93536154,93540384,",uc003umx.1,,69071,uc003umx.1,BC030956,,,GNGT1,,,"Homo sapiens guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 (GNGT1), mRNA.",,
288,uc021tel.1,['G1340.1' 'G1341.1'],['G1103.1'],,uc021tel.1,chr16,+,21413547,21847993,21413547,21413547,4,"21413547,21414284,21846466,21847304,","21414032,21414927,21846535,21847993,",uc021tel.1,,27225,uc021tel.1,AK293635,,,LOC23117,,,Homo sapiens cDNA FLJ59829 complete cds.,,
289,uc001hgh.3,['G136.1'],,,uc001hgh.3,chr1,+,207925382,207968861,207925557,207966936,10,"207925382,207930358,207930884,207932983,207934593,207940357,207956636,207958415,207958963,207966863,","207925654,207930547,207930987,207933069,207934791,207940540,207956675,207958451,207959027,207968861,",P15529-7,uc001hgh.3,3495,uc001hgh.3,NM_172361,P15529-7,P15529-7,CD46,NM_172361,NP_758871,"Homo sapiens CD46 molecule, complement regulatory protein (CD46), transcript variant l, mRNA.",,
290,uc003pdk.2,['G2854.1'],['G2294.1'],,uc003pdk.2,chr6,+,56954807,57016171,56955051,57015707,11,"56954807,56955608,56963858,56989531,56993526,56997839,56999541,57006099,57006745,57011887,57015516,","56955072,56955692,56963939,56989657,56993638,56997990,56999668,57006253,57006893,57013491,57016171,",Q9Y4E5,uc003pdk.2,61415,uc003pdk.2,BC021712,Q9Y4E5,ZN451_HUMAN,ZNF451,NM_001031623,NP_001026794,"Homo sapiens zinc finger protein 451 (ZNF451), transcript variant 1, mRNA.",,
291,uc003dhu.3,['G2225.1'],,,uc003dhu.3,chr3,+,56591183,56655848,56597711,56655646,18,"56591183,56592873,56593596,56597711,56600621,56600977,56605208,56626997,56627518,56627971,56647616,56649155,56649949,56651139,56652199,56653298,56653804,56655559,","56591262,56592938,56593622,56598153,56600787,56601081,56605330,56627129,56627769,56628056,56647778,56649300,56650081,56651633,56652240,56653555,56653929,56655848,",NP_001012524,uc003dhu.3,50803,uc003dhu.3,NM_001012506,A2RUB6,CCD66_HUMAN,CCDC66,NM_001012506,NP_001012524,"Homo sapiens coiled-coil domain containing 66 (CCDC66), transcript variant 2, mRNA.",,
292,uc009yrk.3,['G638.1' 'G644.1'],['G493.1' 'G495.1'],,uc009yrk.3,chr11,+,66384052,66413944,66384191,66411603,3,"66384052,66410920,66413497,","66384528,66411611,66413944,",B0LM41,uc009yrk.3,12289,uc009yrk.3,NM_001198845,B0LM41,B0LM41_HUMAN,RBM14-RBM4,NM_001198845,NP_001185774,"Homo sapiens RBM14-RBM4 readthrough (RBM14-RBM4), transcript variant 1, mRNA.",,
293,uc009zat.3,['G684.1'],,,uc009zat.3,chr11,+,120207617,120360645,120207952,120355786,40,"120207617,120276826,120278446,120291461,120292511,120295066,120298777,120300148,120300420,120302479,120308016,120310837,120312415,120312812,120316130,120317111,120317656,120318582,120318942,120319817,120322220,120327826,120328429,120328788,120329882,120331380,120335945,120337902,120339996,120343758,120345268,120346048,120347369,120347927,120348155,120348864,120350668,120351968,120355146,120355775,","120207984,120276850,120278532,120291560,120292561,120295124,120298956,120300226,120300540,120302620,120308091,120310930,120312526,120312911,120316173,120317217,120317794,120318615,120319057,120319923,120322433,120327959,120328465,120328943,120330029,120331466,120336071,120338017,120340097,120343836,120345344,120346216,120347457,120348014,120348235,120349098,120351139,120352285,120355216,120360645,",Q9NZN5-2,uc009zat.3,13070,uc009zat.3,NM_001198665,Q9NZN5-2,Q9NZN5-2,ARHGEF12,NM_001198665,NP_001185594,"Homo sapiens Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), transcript variant 2, mRNA.",,
294,uc011cna.1,['G2608.1' 'G2609.1'],,,uc011cna.1,chr5,+,14183906,14399509,14184058,14399239,30,"14183906,14270933,14280430,14286979,14290824,14293120,14297180,14304569,14316621,14330886,14336644,14358286,14359465,14363840,14364758,14366968,14368816,14369482,14374337,14378120,14381238,14387546,14387840,14388721,14389397,14390339,14391009,14394146,14397151,14398988,","14184068,14271008,14280545,14287172,14291337,14293243,14297372,14304701,14316852,14331009,14336836,14358456,14359640,14364036,14364925,14367088,14369008,14369632,14374452,14378236,14381361,14387741,14387956,14388788,14389507,14390409,14391099,14394239,14397263,14399509,",F5H228,uc011cna.1,57055,uc011cna.1,AK304786,F5H228,F5H228_HUMAN,TRIO,NM_007118,NP_009049,"Homo sapiens trio Rho guanine nucleotide exchange factor (TRIO), mRNA.",,
295,uc002ikc.3,['G1512.1' 'G1513.1'],['G1217.1' 'G1217.2'],,uc002ikc.3,chr17,-,44107281,44270166,44108841,44249509,15,"44107281,44109412,44110445,44110768,44111526,44115903,44116392,44117067,44127898,44143902,44144914,44159806,44171925,44248220,44269784,","44109069,44109665,44110558,44110826,44111651,44116052,44116581,44117250,44128070,44144098,44145033,44159908,44172067,44249598,44270166,",NP_056258,uc002ikc.3,33395,uc002ikc.3,NM_001193466,Q7Z3B3,KANL1_HUMAN,KANSL1,NM_001193466,NP_056258,"Homo sapiens KAT8 regulatory NSL complex subunit 1 (KANSL1), transcript variant 1, mRNA.",,
296,uc010bon.3,['G1206.1'],['G998.1' 'G999.1'],,uc010bon.3,chr15,+,99192760,99507759,99192810,99500671,21,"99192760,99250790,99434553,99439985,99442705,99451913,99454543,99456272,99459192,99459900,99465376,99467104,99467753,99472789,99473463,99478052,99478544,99482429,99486151,99491802,99500289,","99192904,99251336,99434866,99440134,99442850,99452128,99454670,99456511,99459360,99460105,99465660,99467241,99467913,99472889,99473534,99478282,99478655,99482589,99486281,99491937,99507759,",C9J5X1,uc010bon.3,24912,uc010bon.3,AB463073,C9J5X1,C9J5X1_HUMAN,IGF1R,NM_000875,NP_000866,"Homo sapiens insulin-like growth factor 1 receptor (IGF1R), mRNA.",,
297,uc011egl.1,"['G3013.1' 'G3024.1' 'G3031.1' 'G3034.1' 'G3035.1' 'G3035.2' 'G3037.1'
 'G3038.1' 'G3042.1' 'G3046.1' 'G3048.1' 'G3048.2' 'G3050.1' 'G3051.1'
 'G3053.1' 'G3056.1' 'G3059.1']","['G2412.1' 'G2422.1' 'G2430.1' 'G2434.1' 'G2438.1' 'G2439.1' 'G2443.1'
 'G2444.1' 'G2446.1' 'G2449.1' 'G2457.1' 'G2458.1' 'G2459.1' 'G2462.1'
 'G2466.1' 'G2467.1' 'G2469.1' 'G2469.2' 'G2472.1' 'G2475.1' 'G2475.2'
 'G2475.3']",,uc011egl.1,chr6,-,166337535,166401527,166401065,166401386,2,"166337535,166401016,","166338147,166401527,",H0UI31,uc011egl.1,64145,uc011egl.1,NR_026861,H0UI31,H0UI31_HUMAN,LINC00473,NR_026861,,"Homo sapiens long intergenic non-protein coding RNA 473 (LINC00473), transcript variant 2, non-coding RNA.",,
