,transcript,IonXpress_NONO_c,IonXpress_SFPQt1,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
102,uc010wth.2,['G1099.1'],['G1277.1'],uc010wth.2,chr17,+,75137004,75213181,75139678,75210105,17,"75137004,75138727,75139648,75186884,75187262,75189502,75190758,75192283,75196565,75199651,75201357,75202310,75202809,75205423,75208031,75209395,75209999,","75137189,75138832,75139741,75187034,75187394,75189631,75190993,75192393,75196755,75199740,75201428,75202482,75202944,75205558,75208283,75209574,75213181,",Q59HE8,uc010wth.2,31723,uc010wth.2,NM_001143998,Q59HE8,Q59HE8_HUMAN,SEC14L1,NM_001143998,NP_001137473,"Homo sapiens SEC14-like 1 (S. cerevisiae) (SEC14L1), transcript variant 3, mRNA.",,
103,uc010ena.1,['G1183.1'],['G1388.1'],uc010ena.1,chr19,+,49994163,49994229,49994163,49994163,1,"49994163,","49994229,",uc010ena.1,,37238,uc010ena.1,NR_000019,,,SNORD34,NR_000019,,"Homo sapiens small nucleolar RNA, C/D box 34 (SNORD34), small nucleolar RNA.",,
104,uc002pnz.4,['G1183.1'],['G1387.1' 'G1388.1' 'G1389.1'],uc002pnz.4,chr19,+,49990810,49995564,49993760,49995072,8,"49990810,49993106,49993488,49993731,49994035,49994296,49994681,49994985,","49990901,49993169,49993554,49993833,49994121,49994356,49994804,49995564,",NP_001257420,uc002pnz.4,37232,uc002pnz.4,NR_073024,P40429,RL13A_HUMAN,RPL13A,NM_001270491,NP_001257420,"Homo sapiens ribosomal protein L13a (RPL13A), transcript variant 3, non-coding RNA.",,
105,uc001byp.3,['G132.1'],,uc001byp.3,chr1,-,35641980,35646083,35641980,35641980,3,"35641980,35642919,35643589,","35642072,35643000,35646083,",uc001byp.3,,4852,uc001byp.3,BX537811,,,BX537811,,,Homo sapiens mRNA; cDNA DKFZp547C228 (from clone DKFZp547C228).,,
106,uc003qed.4,['G2008.1' 'G2008.2' 'G2008.3'],,uc003qed.4,chr6,+,133562494,133853258,133595918,133849943,20,"133562494,133595853,133703529,133767767,133769248,133777693,133782251,133783472,133783758,133785916,133789703,133802600,133804169,133827243,133833858,133834015,133836458,133844193,133846152,133849862,","133562887,133595951,133703579,133767892,133769317,133777786,133782318,133783615,133783902,133785996,133789869,133802737,133804253,133827333,133833917,133834176,133836573,133844315,133846253,133853258,",O95677-4,uc003qed.4,61842,uc003qed.4,NM_172105,O95677-4,O95677-4,EYA4,NM_172105,NP_742103,"Homo sapiens eyes absent homolog 4 (Drosophila) (EYA4), transcript variant 4, mRNA.",,
107,uc021yjw.1,['G1877.1'],,uc021yjw.1,chr5,+,180600649,180600722,180600649,180600649,1,"180600649,","180600722,",uc021yjw.1,,81389,uc021yjw.1,,,,TRNA_Val,,,transfer RNA Val (anticodon CAC),,chr5.tRNA6-ValCAC
108,uc031tds.1,['G2376.1'],,uc031tds.1,chr9,+,37120632,37358145,37126332,37357265,9,"37120632,37126308,37302184,37304184,37305540,37327795,37349353,37354706,37356831,","37120891,37126939,37302228,37304310,37305711,37327831,37349449,37354821,37358145,",Q8N3Z6,uc031tds.1,74695,uc031tds.1,BC036940,Q8N3Z6,ZCHC7_HUMAN,ZCCHC7,NM_032226,NP_115602,"Homo sapiens zinc finger, CCHC domain containing 7 (ZCCHC7), mRNA.",,
109,uc001odz.3,"['G460.1' 'G460.2' 'G460.3' 'G460.4' 'G461.1' 'G461.2' 'G461.3' 'G461.4'
 'G461.5' 'G461.6' 'G461.7']",['G516.1'],uc001odz.3,chr11,+,65269557,65270464,65269557,65269557,2,"65269557,65270107,","65269864,65270464,",uc001odz.3,,12202,uc001odz.3,BC010924,,,BC010924,,,"Homo sapiens cDNA clone IMAGE:4291796, **** WARNING: chimeric clone ****.",,
110,uc021viy.1,['G1373.1'],,uc021viy.1,chr2,-,70476122,70476193,70476122,70476122,1,"70476122,","70476193,",uc021viy.1,,82239,uc021viy.1,,,,TRNA,,,Rfam model RF00005 hit found at contig region AC016700.8/165408-165338,RF00005,
111,uc002vru.3,['G1451.1'],['G1667.1'],uc002vru.3,chr2,-,232319458,232329205,232319901,232329064,14,"232319458,232320111,232320720,232321341,232321711,232322353,232322976,232323711,232324862,232325188,232325379,232326250,232327910,232329046,","232319978,232320335,232320847,232321475,232321835,232322511,232323100,232323836,232325004,232325275,232325577,232326728,232328027,232329205,",P19338,uc002vru.3,44964,uc002vru.3,NM_005381,P19338,NUCL_HUMAN,NCL,NM_005381,NP_005372,"Homo sapiens nucleolin (NCL), mRNA.",,
112,uc002gqa.4,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc002gqa.4,chr17,+,16342300,16345340,16342300,16342300,6,"16342300,16342640,16342973,16343498,16344387,16344681,","16342374,16342728,16343017,16343567,16344444,16345340,",uc002gqa.4,,30229,uc002gqa.4,NR_027170,,,C17orf76-AS1,NR_027170,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 14, non-coding RNA.",,
113,uc002xun.4,['G1487.1' 'G1488.1' 'G1489.1'],['G1707.1' 'G1708.1' 'G1709.1'],uc002xun.4,chr20,+,47894714,47905795,47894714,47894714,3,"47894714,47895640,47905581,","47895253,47895745,47905795,",uc002xun.4,,45892,uc002xun.4,NR_003606,,,ZFAS1,NR_003606,,"Homo sapiens ZNFX1 antisense RNA 1 (ZFAS1), transcript variant 3, non-coding RNA.",,
114,uc001cml.3,['G31.1'],['G59.1'],uc001cml.3,chr1,+,45244061,45244130,45244061,45244061,1,"45244061,","45244130,",uc001cml.3,,1193,uc001cml.3,NR_001457,,,SNORD38B,NR_001457,,"Homo sapiens small nucleolar RNA, C/D box 38B (SNORD38B), small nucleolar RNA.",,
115,uc001rtl.3,['G687.1' 'G689.1'],,uc001rtl.3,chr12,-,49521566,49525178,49521740,49523403,3,"49521566,49523024,49523282,","49522721,49523173,49525178,",P68363,uc001rtl.3,18135,uc001rtl.3,AK094717,P68363,TBA1B_HUMAN,TUBA1B,NM_006082,NP_006073,"Homo sapiens tubulin, alpha 1b (TUBA1B), mRNA.",,
116,uc021ujx.1,['G1141.1' 'G1142.1' 'G1142.2' 'G1143.1'],['G1327.1' 'G1328.1' 'G1328.2' 'G1329.1'],uc021ujx.1,chr18,-,47014850,47018834,47014888,47017941,7,"47014850,47015728,47016823,47017162,47017774,47017901,47018644,","47014936,47015920,47016922,47017297,47017815,47017954,47018834,",P18621,uc021ujx.1,35296,uc021ujx.1,NM_001199344,P18621,RL17_HUMAN,RPL17,NM_001199344,NP_001186274,"Homo sapiens ribosomal protein L17 (RPL17), transcript variant 7, mRNA.",,
117,uc003fix.4,['G1705.1'],,uc003fix.4,chr3,-,176738541,176915048,176743285,176782765,16,"176738541,176744160,176750758,176751985,176755885,176756100,176763916,176765087,176765273,176767784,176768265,176769291,176771560,176782707,176816253,176914908,","176743312,176744262,176750924,176752113,176755960,176756222,176763977,176765185,176765337,176767926,176768398,176769514,176771706,176782810,176816329,176915048,",Q9BZK7,uc003fix.4,53836,uc003fix.4,NM_024665,Q9BZK7,TBL1R_HUMAN,TBL1XR1,NM_024665,NP_078941,"Homo sapiens transducin (beta)-like 1 X-linked receptor 1 (TBL1XR1), mRNA.",,
118,uc004ebq.1,['G2572.1'],,uc004ebq.1,chrX,-,73421436,73461983,73421436,73421436,2,"73421436,73461767,","73423744,73461983,",uc004ebq.1,,79829,uc004ebq.1,AK125301,,,AK125301,,,"Homo sapiens cDNA FLJ43311 fis, clone NT2RI2009855.",,
119,uc010oyh.1,['G51.1'],['G107.1'],uc010oyh.1,chr1,+,145209110,145295525,145209110,145209110,8,"145209110,145248820,145273184,145281368,145290428,145290780,145293370,145295422,","145209436,145248894,145273444,145281704,145290511,145290850,145293580,145295525,",uc010oyh.1,,2170,uc010oyh.1,AK293876,,,NOTCH2NL,NM_203458,,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA.",,
120,uc002xum.4,['G1487.1' 'G1488.1' 'G1489.1'],['G1707.1' 'G1708.1' 'G1709.1'],uc002xum.4,chr20,+,47894714,47905795,47894714,47894714,4,"47894714,47895640,47897021,47905581,","47895253,47895745,47897107,47905795,",uc002xum.4,,45890,uc002xum.4,NR_036658,,,ZFAS1,NR_036658,,"Homo sapiens ZNFX1 antisense RNA 1 (ZFAS1), transcript variant 4, non-coding RNA.",,
121,uc010vwj.2,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc010vwj.2,chr17,+,16342300,16345340,16342300,16342300,5,"16342300,16342640,16342841,16343498,16344681,","16342374,16342728,16343017,16343567,16345340,",uc010vwj.2,,30228,uc010vwj.2,NR_027169,,,C17orf76-AS1,NR_027169,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 13, non-coding RNA.",,
122,uc022bqt.1,['G2469.1' 'G2475.1'],['G2847.1' 'G2849.1' 'G2853.1' 'G2857.1'],uc022bqt.1,chrM,-,8366,14149,8366,8366,2,"8366,13449,","8472,14149,",uc022bqt.1,,77547,uc022bqt.1,JA760600,,,JA760600,,,"Homo sapiens piRNA piR-31490, complete sequence.",,
123,uc031pob.1,['G51.1'],['G107.1'],uc031pob.1,chr1,+,145224596,145285912,145248856,145282031,6,"145224596,145227040,145248812,145273184,145281368,145281954,","145224702,145227336,145248894,145273444,145281704,145285912,",Q7Z3S9,uc031pob.1,2174,uc031pob.1,BX537434,Q7Z3S9,NT2NL_HUMAN,NOTCH2NL,NM_203458,NP_982283,"Homo sapiens notch 2 N-terminal like (NOTCH2NL), mRNA.",,
124,uc003fiy.2,['G1705.1'],,uc003fiy.2,chr3,-,176769291,176915048,176769292,176782765,4,"176769291,176771560,176782707,176914908,","176769514,176771706,176782810,176915048,",C9IYU9,uc003fiy.2,53839,uc003fiy.2,BC060320,C9IYU9,C9IYU9_HUMAN,TBL1XR1,,,"Homo sapiens transducin (beta)-like 1 X-linked receptor 1 (TBL1XR1), mRNA.",,
125,uc010aco.1,['G768.1'],['G856.1'],uc010aco.1,chr13,-,46924247,46952842,46924477,46946610,13,"46924247,46928897,46930566,46933620,46935575,46936672,46937249,46942176,46942867,46946075,46950626,46952024,46952581,","46924486,46928998,46930631,46933766,46935708,46936733,46937348,46942384,46942950,46946732,46950719,46952140,46952842,",Q9H714,uc010aco.1,20273,uc010aco.1,AK310264,Q9H714,K226L_HUMAN,KIAA0226L,,,"Homo sapiens KIAA0226-like (KIAA0226L), mRNA.",,
126,uc003ldu.3,['G1854.1'],['G2157.1'],uc003ldu.3,chr5,+,138609440,138667366,138643104,138665084,18,"138609440,138611809,138614015,138614739,138642927,138650363,138651385,138651764,138652741,138653284,138654596,138655022,138657586,138658151,138658286,138661128,138661851,138665033,","138609850,138611839,138614097,138614818,138644016,138650425,138651427,138651877,138652794,138653410,138654722,138655190,138657718,138658195,138658656,138661351,138661973,138667366,",P43243,uc003ldu.3,57989,uc003ldu.3,NM_199189,P43243,MATR3_HUMAN,MATR3,NM_199189,NP_954659,"Homo sapiens matrin 3 (MATR3), transcript variant 1, mRNA.",,
127,uc021ttu.1,['G1024.1'],['G1178.1' 'G1179.1'],uc021ttu.1,chr17,+,27047308,27051374,27047309,27050899,5,"27047308,27047724,27049740,27050588,27050884,","27047448,27047908,27049917,27050658,27051374,",A8MUS3,uc021ttu.1,30478,uc021ttu.1,AB527711,A8MUS3,A8MUS3_HUMAN,RPL23A,NM_000984,NP_000975,"Homo sapiens ribosomal protein L23a (RPL23A), mRNA.",,
128,uc010vgi.1,['G945.1' 'G946.1'],,uc010vgi.1,chr16,+,47495209,47581459,47497849,47581457,8,"47495209,47497809,47531309,47533666,47536901,47545575,47549431,47581343,","47495337,47497904,47531399,47533805,47537001,47545683,47549512,47581459,",H3BQ89,uc010vgi.1,27643,uc010vgi.1,AK298588,H3BQ89,H3BQ89_HUMAN,PHKB,,,"Homo sapiens phosphorylase kinase, beta (PHKB), transcript variant 2, mRNA.",,
129,uc003zzq.3,['G2376.1'],,uc003zzq.3,chr9,+,37120468,37358145,37126329,37357265,9,"37120468,37126308,37302184,37304184,37305540,37327795,37349353,37354706,37356831,","37120620,37126939,37302228,37304310,37305711,37327831,37349449,37354821,37358145,",Q8N3Z6,uc003zzq.3,74691,uc003zzq.3,NM_032226,Q8N3Z6,ZCHC7_HUMAN,ZCCHC7,NM_032226,NP_115602,"Homo sapiens zinc finger, CCHC domain containing 7 (ZCCHC7), mRNA.",,
130,uc021tqw.1,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc021tqw.1,chr17,+,16342300,16345340,16342300,16342300,5,"16342300,16342640,16343424,16344387,16344681,","16342374,16342728,16343567,16344444,16345340,",uc021tqw.1,,30236,uc021tqw.1,NR_045029,,,C17orf76-AS1,NR_045029,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 32, non-coding RNA.",,
131,uc003dfd.3,['G1614.1'],['G1860.1'],uc003dfd.3,chr3,+,52719935,52728510,52720108,52728291,15,"52719935,52720784,52721261,52721517,52722124,52723089,52724607,52724960,52725557,52726887,52727202,52727423,52727647,52728052,52728208,","52720121,52720843,52721399,52721631,52722208,52723222,52724720,52725087,52725645,52727062,52727345,52727560,52727823,52728119,52728510,",Q9BVP2,uc003dfd.3,50768,uc003dfd.3,NM_014366,Q9BVP2,GNL3_HUMAN,GNL3,NM_014366,NP_996562,"Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 1, mRNA.",,
132,uc011ecr.2,['G2008.1' 'G2008.2' 'G2008.3'],,uc011ecr.2,chr6,+,133562494,133852550,133595918,133852364,18,"133562494,133595853,133703529,133767767,133782251,133783472,133783758,133785916,133789703,133802600,133804169,133827243,133833858,133834015,133836458,133844193,133846152,133852346,","133562887,133595951,133703579,133767892,133782318,133783615,133783902,133785996,133789887,133802737,133804253,133827333,133833917,133834176,133836573,133844315,133846253,133852550,",E7ESD5,uc011ecr.2,61845,uc011ecr.2,AK295798,E7ESD5,E7ESD5_HUMAN,EYA4,NM_172105,NP_742103,"Homo sapiens eyes absent homolog 4 (Drosophila) (EYA4), transcript variant 4, mRNA.",,
133,uc004coq.4,['G2478.1'],,uc004coq.4,chrM,-,235,368,235,235,1,"235,","368,",uc004coq.4,,77542,uc004coq.4,DQ582201,,,DQ582201,,,"Homo sapiens cDNA: FLJ22857 fis, clone KAT01615.",,
134,uc009xhq.3,"['G286.1' 'G288.1' 'G290.1' 'G291.1' 'G292.1' 'G294.1' 'G295.1' 'G296.1'
 'G305.1' 'G306.1']",,uc009xhq.3,chr10,-,1223252,1779670,1229132,1779344,10,"1223252,1230800,1245905,1262890,1279635,1284193,1313149,1405222,1421268,1779244,","1229309,1230979,1246087,1263059,1279787,1284362,1313264,1406112,1421355,1779670,",Q9NS39,uc009xhq.3,9402,uc009xhq.3,NM_018702,Q9NS39,RED2_HUMAN,ADARB2,NM_018702,NP_061172,"Homo sapiens adenosine deaminase, RNA-specific, B2 (non-functional) (ADARB2), mRNA.",,
135,uc021zic.1,['G2073.1' 'G2076.1' 'G2080.1' 'G2081.1' 'G2082.1'],,uc021zic.1,chr6,-,166361710,166401527,166401065,166401386,2,"166361710,166401016,","166363402,166401527,",H0UI31,uc021zic.1,64146,uc021zic.1,BX647106,H0UI31,H0UI31_HUMAN,LINC00473,,,"Homo sapiens long intergenic non-protein coding RNA 473 (LINC00473), transcript variant 2, non-coding RNA.",,
136,uc003dfe.3,['G1614.1'],['G1860.1'],uc003dfe.3,chr3,+,52719935,52728510,52720807,52728291,15,"52719935,52720784,52721261,52721517,52722124,52723089,52724607,52724960,52725557,52726887,52727202,52727423,52727647,52728052,52728208,","52720218,52720843,52721399,52721631,52722208,52723222,52724720,52725087,52725645,52727062,52727345,52727560,52727823,52728119,52728510,",NP_996562,uc003dfe.3,50769,uc003dfe.3,NM_206825,Q9BVP2,GNL3_HUMAN,GNL3,NM_206825,NP_996562,"Homo sapiens guanine nucleotide binding protein-like 3 (nucleolar) (GNL3), transcript variant 2, mRNA.",,
137,uc004cos.5,"['G2455.2' 'G2455.3' 'G2455.4' 'G2455.5' 'G2455.6' 'G2455.7' 'G2456.1'
 'G2456.2' 'G2456.3' 'G2456.4' 'G2456.5']",['G2825.8' 'G2825.9' 'G2825.10' 'G2825.11' 'G2825.12' 'G2825.13' 'G2826.1'],uc004cos.5,chrM,+,1843,4264,1843,1843,1,"1843,","4264,",uc004cos.5,,77533,uc004cos.5,S81656,,,TVAS5,,,"Homo sapiens mRNA expressed only in placental villi, clone SMAP47.",,
138,uc002ldm.2,['G1141.1' 'G1142.1' 'G1142.2'],['G1327.1' 'G1328.1' 'G1328.2'],uc002ldm.2,chr18,-,47007547,47017954,47009961,47017941,7,"47007547,47009953,47015728,47016823,47017162,47017774,47017901,","47008780,47010141,47015920,47016922,47017297,47017815,47017954,",J3QL51,uc002ldm.2,35298,uc002ldm.2,NM_001199355,J3QL51,J3QL51_HUMAN,RPL17-C18orf32,NM_001199355,NP_001186285,"Homo sapiens RPL17-C18orf32 readthrough (RPL17-C18orf32), transcript variant 1, mRNA.",,
139,uc010vwm.1,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc010vwm.1,chr17,+,16342300,16373962,16342300,16342300,7,"16342300,16342640,16343498,16344387,16366146,16366480,16373615,","16342374,16342728,16343567,16344444,16366255,16366561,16373962,",uc010vwm.1,,30235,uc010vwm.1,NR_027174,,,C17orf76-AS1,NR_027174,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 18, non-coding RNA.",,
140,uc003dnc.3,['G1676.1'],,uc003dnc.3,chr3,+,67705120,67998136,67705120,67705120,7,"67705120,67720239,67721252,67890445,67894656,67939433,67997564,","67705526,67720333,67721428,67891263,67894776,67939533,67998136,",uc003dnc.3,,50893,uc003dnc.3,AL832184,,,AL832184,,,Homo sapiens mRNA; cDNA DKFZp686F1220 (from clone DKFZp686F1220).,,
141,uc010jfb.3,['G1854.1'],['G2157.1'],uc010jfb.3,chr5,+,138609440,138667366,138643104,138665084,17,"138609440,138611809,138614739,138642927,138650363,138651385,138651764,138652741,138653284,138654596,138655022,138657586,138658151,138658286,138661128,138661851,138665033,","138609850,138611839,138614818,138644016,138650425,138651427,138651877,138652794,138653410,138654722,138655190,138657718,138658195,138658656,138661351,138661973,138667366,",P43243,uc010jfb.3,57990,uc010jfb.3,NM_001194954,P43243,MATR3_HUMAN,MATR3,NM_001194954,NP_954659,"Homo sapiens matrin 3 (MATR3), transcript variant 3, mRNA.",,
142,uc003ysa.2,['G2332.1' 'G2334.1' 'G2335.1' 'G2336.1' 'G2337.1' 'G2338.1' 'G2341.1'],,uc003ysa.2,chr8,-,128219628,128231333,128219628,128219628,2,"128219628,128231054,","128221962,128231333,",uc003ysa.2,,74087,uc003ysa.2,JX003870,,,CCAT1,,,"Homo sapiens cDNA FLJ43320 fis, clone NT2RI2024935.",,
143,uc021ouk.1,['G51.1'],['G107.1'],uc021ouk.1,chr1,+,145209110,145304652,145293405,145304651,15,"145209110,145248812,145273184,145281368,145293113,145293370,145295422,145296356,145297618,145298154,145299729,145301719,145302653,145303909,145304446,","145209436,145248894,145273444,145281704,145293272,145293580,145295525,145296571,145297691,145298366,145299939,145301822,145302868,145303982,145304652,",Q5VTG7,uc021ouk.1,2156,uc021ouk.1,AX747492,Q5VTG7,Q5VTG7_HUMAN,NBPF10,NM_001037675,NP_001032764,"Homo sapiens neuroblastoma breakpoint family, member 10 (NBPF10), mRNA.",,
144,uc010osu.2,['G168.1' 'G168.2' 'G168.3'],['G235.1' 'G235.2' 'G235.3' 'G235.4' 'G235.5'],uc010osu.2,chr1,-,91726322,91870426,91726846,91845703,35,"91726322,91727797,91728037,91731573,91733301,91739268,91740286,91742184,91742538,91778905,91779513,91781371,91781657,91781947,91784634,91784849,91788506,91788649,91790231,91808986,91812985,91816294,91817105,91818062,91818607,91818812,91840914,91841083,91843581,91843959,91844619,91845660,91846468,91866568,91870354,","91726916,91727949,91728149,91731664,91733412,91739372,91740366,91742300,91742619,91779052,91779617,91781529,91781741,91782033,91784766,91784947,91788554,91788756,91790323,91809067,91813033,91816428,91817200,91818208,91818709,91818856,91841003,91841284,91843740,91844037,91844771,91845793,91846486,91866666,91870426,",A2PYH4,uc010osu.2,5551,uc010osu.2,AK302582,A2PYH4,HFM1_HUMAN,HFM1,,,"Homo sapiens HFM1, ATP-dependent DNA helicase homolog (S. cerevisiae) (HFM1), mRNA.",,
145,uc010vwh.2,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc010vwh.2,chr17,+,16342300,16345340,16342300,16342300,6,"16342300,16342640,16342894,16343498,16344387,16344681,","16342374,16342728,16343017,16343567,16344444,16345340,",uc010vwh.2,,30240,uc010vwh.2,NR_027164,,,C17orf76-AS1,NR_027164,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 8, non-coding RNA.",,
146,uc010smg.1,['G687.1' 'G689.1'],,uc010smg.1,chr12,+,49521741,49522719,49522169,49522625,1,"49521741,","49522719,",uc010smg.1,,16183,uc010smg.1,CU679020,,,TUBA1A,,,Synthetic construct Homo sapiens gateway clone IMAGE:100019466 3' read TUBA1A mRNA.,,
147,uc002vbf.1,['G1330.1'],,uc002vbf.1,chr2,+,207024317,207027653,207024703,207027607,7,"207024317,207024636,207025311,207026069,207026761,207027212,207027452,","207024408,207024783,207025434,207026196,207026828,207027338,207027653,",P24534,uc002vbf.1,42222,uc002vbf.1,NM_001037663,P24534,EF1B_HUMAN,EEF1B2,NM_001037663,NP_066944,"Homo sapiens eukaryotic translation elongation factor 1 beta 2 (EEF1B2), transcript variant 3, mRNA.",,
148,uc009yoj.1,['G526.1'],['G602.1'],uc009yoj.1,chr11,-,62620797,62620865,62620797,62620797,1,"62620797,","62620865,",uc009yoj.1,,14390,uc009yoj.1,NR_002560,,,SNORD31,NR_002560,,"Homo sapiens small nucleolar RNA, C/D box 31 (SNORD31), small nucleolar RNA.",,
149,uc011lqh.2,['G2376.1'],,uc011lqh.2,chr9,+,37120468,37358145,37305630,37357265,8,"37120468,37302184,37304184,37305540,37327795,37349353,37354706,37356831,","37120620,37302228,37304310,37305711,37327831,37349449,37354821,37358145,",B4E024,uc011lqh.2,74692,uc011lqh.2,AK303193,B4E024,B4E024_HUMAN,ZCCHC7,NM_032226,NP_115602,"Homo sapiens zinc finger, CCHC domain containing 7 (ZCCHC7), mRNA.",,
150,uc002xup.1,['G1489.1'],['G1709.1'],uc002xup.1,chr20,+,47897219,47897309,47897219,47897219,1,"47897219,","47897309,",uc002xup.1,,45895,uc002xup.1,NR_003030,,,SNORD12,NR_003030,,"Homo sapiens small nucleolar RNA, C/D box 12 (SNORD12), small nucleolar RNA.",,
151,uc002eeu.4,['G945.1' 'G946.1'],,uc002eeu.4,chr16,+,47495209,47735434,47497849,47733277,32,"47495209,47497792,47531309,47533666,47536901,47545575,47549431,47581343,47614205,47621578,47622815,47627410,47628047,47630283,47644736,47674945,47675509,47682443,47683010,47684454,47684741,47694416,47694567,47695629,47697587,47699852,47703125,47722951,47727288,47730291,47732358,47733139,","47495337,47497904,47531399,47533805,47537001,47545683,47549512,47581459,47614269,47621674,47623013,47627468,47628125,47630442,47644831,47675001,47675603,47682527,47683115,47684537,47684832,47694478,47694730,47695711,47697645,47699943,47703328,47723086,47727418,47730399,47732499,47735434,",Q93100-4,uc002eeu.4,27641,uc002eeu.4,NM_001031835,Q93100-4,Q93100-4,PHKB,NM_001031835,NP_001027005,"Homo sapiens phosphorylase kinase, beta (PHKB), transcript variant 2, mRNA.",,
152,uc021rdt.1,['G654.1'],,uc021rdt.1,chr12,+,110729824,110788897,110734454,110784275,16,"110729824,110734403,110764194,110765357,110770401,110770985,110771816,110777085,110777307,110778463,110780032,110781036,110782690,110783053,110783805,110784005,","110729929,110734542,110764280,110765822,110770490,110771088,110771948,110777208,110777526,110778799,110780253,110781239,110782776,110783187,110783923,110788897,",H7C5W9,uc021rdt.1,17095,uc021rdt.1,AK293877,H7C5W9,H7C5W9_HUMAN,ATP2A2,NM_170665,NP_733765,"Homo sapiens ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 (ATP2A2), transcript variant b, mRNA.",,
153,uc010nlq.1,['G2572.1'],,uc010nlq.1,chrX,-,73247970,73513409,73247970,73247970,7,"73247970,73251430,73494176,73500228,73500765,73501536,73513186,","73249386,73251675,73494245,73500329,73500920,73501683,73513409,",uc010nlq.1,,79827,uc010nlq.1,NR_028379,,,FTX,NR_028379,,"Homo sapiens FTX transcript, XIST regulator (non-protein coding) (FTX), non-coding RNA.",,
154,uc009wbv.1,['G40.1'],['G70.1'],uc009wbv.1,chr1,+,76255161,76255232,76255161,76255161,1,"76255161,","76255232,",uc009wbv.1,,1593,uc009wbv.1,NR_002748,,,SNORD45B,NR_002748,,"Homo sapiens small nucleolar RNA, C/D box 45B (SNORD45B), small nuclear RNA.",,
155,uc002xuj.3,['G1487.1' 'G1488.1' 'G1489.1'],['G1707.1' 'G1708.1' 'G1709.1'],uc002xuj.3,chr20,+,47894714,47905795,47894714,47894714,5,"47894714,47895640,47897021,47897439,47905581,","47894934,47895745,47897107,47897501,47905795,",uc002xuj.3,,45889,uc002xuj.3,NR_003605,,,ZFAS1,NR_003605,,"Homo sapiens ZNFX1 antisense RNA 1 (ZFAS1), transcript variant 2, non-coding RNA.",,
156,uc003qdx.3,['G2005.1'],['G2358.1' 'G2360.1'],uc003qdx.3,chr6,+,133135707,133138703,133135907,133138681,6,"133135707,133135870,133136110,133137599,133138098,133138618,","133135752,133135921,133136227,133137702,133138200,133138703,",P25398,uc003qdx.3,61837,uc003qdx.3,NM_001016,P25398,RS12_HUMAN,RPS12,NM_001016,NP_001007,"Homo sapiens ribosomal protein S12 (RPS12), mRNA.",,
157,uc001pec.3,['G547.1' 'G550.1'],['G628.1' 'G629.1' 'G631.1'],uc001pec.3,chr11,-,93463446,93469014,93463446,93463446,4,"93463446,93463842,93464918,93465409,","93463613,93464382,93464965,93469014,",uc001pec.3,,14951,uc001pec.3,AK128061,,,TAF1D,,,"Homo sapiens cDNA: FLJ23363 fis, clone HEP15507.",,
158,uc009wwi.1,['G194.1'],['G285.1'],uc009wwi.1,chr1,-,173833312,173833355,173833312,173833312,1,"173833312,","173833355,",uc009wwi.1,,6933,uc009wwi.1,NR_003938,,,SNORD81,NR_003938,,"Homo sapiens small nucleolar RNA, C/D box 81 (SNORD81), small nucleolar RNA.",,
159,uc011ecs.2,['G2008.1' 'G2008.2' 'G2008.3'],,uc011ecs.2,chr6,+,133562636,133853258,133595918,133849943,20,"133562636,133595853,133703529,133767767,133769248,133777693,133782251,133783472,133783758,133785916,133789703,133802600,133804169,133827243,133833858,133834015,133836458,133844193,133846291,133849862,","133562887,133595951,133703579,133767892,133769317,133777786,133782318,133783615,133783902,133785996,133789887,133802737,133804253,133827333,133833917,133834176,133836573,133844315,133846392,133853258,",F2Z2Y1,uc011ecs.2,61844,uc011ecs.2,AK299378,F2Z2Y1,F2Z2Y1_HUMAN,EYA4,NM_004100,NP_004091,"Homo sapiens eyes absent homolog 4 (Drosophila) (EYA4), transcript variant 1, mRNA.",,
160,uc010ghz.3,['G1487.1'],['G1707.1'],uc010ghz.3,chr20,+,47895481,47895560,47895481,47895481,1,"47895481,","47895560,",uc010ghz.3,,45893,uc010ghz.3,NR_002433,,,SNORD12C,NR_002433,,"Homo sapiens small nucleolar RNA, C/D box 12C (SNORD12C), small nucleolar RNA.",,
