,transcript,IonXpress_SFPQ_N,IonXpress_NONO_N,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
665,uc011del.2,['G2168.1'],,uc011del.2,chr5,+,162864576,162872022,162868227,162869571,6,"162864576,162868083,162868891,162869050,162869379,162870679,","162864810,162868337,162868970,162869149,162869574,162872022,",P51959,uc011del.2,58386,uc011del.2,AK297190,P51959,CCNG1_HUMAN,CCNG1,NM_199246,NP_954854,"Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA.",,
666,uc003lyt.1,['G2167.1'],,uc003lyt.1,chr5,-,160715435,160975130,160721087,160973649,10,"160715435,160757889,160761758,160763638,160837980,160886629,160972232,160973327,160973572,160975064,","160721435,160758134,160761911,160763776,160838063,160886850,160972300,160973419,160973801,160975130,",P47870-1,uc003lyt.1,59984,uc003lyt.1,NM_000813,P47870-1,P47870-1,GABRB2,NM_000813,NP_000804,"Homo sapiens gamma-aminobutyric acid (GABA) A receptor, beta 2 (GABRB2), transcript variant 2, mRNA.",,
667,uc011lji.1,['G2656.1'],,uc011lji.1,chr8,-,134249413,134309547,134251120,134296554,6,"134249413,134254265,134256597,134258858,134296506,134309376,","134251362,134254317,134256633,134258906,134296572,134309547,",E7ESM1,uc011lji.1,74144,uc011lji.1,AK299636,E7ESM1,E7ESM1_HUMAN,NDRG1,NM_001258433,NP_001245362,"Homo sapiens N-myc downstream regulated 1 (NDRG1), transcript variant 4, mRNA.",,
668,uc002fkm.3,['G1139.1'],['G994.1' 'G994.2' 'G995.1' 'G996.1' 'G997.1' 'G997.2'],uc002fkm.3,chr16,-,87863628,87903100,87866575,87903028,10,"87863628,87868019,87870103,87871450,87872319,87873307,87874034,87874655,87885329,87902490,","87866631,87868197,87870253,87871547,87872423,87873431,87874079,87874761,87885455,87903100,",Q01650,uc002fkm.3,29733,uc002fkm.3,NM_003486,Q01650,LAT1_HUMAN,SLC7A5,NM_003486,NP_003477,"Homo sapiens solute carrier family 7 (amino acid transporter light chain, L system), member 5 (SLC7A5), mRNA.",,
669,uc003lyr.1,['G2167.1'],,uc003lyr.1,chr5,-,160715435,160975125,160721087,160973649,10,"160715435,160757889,160761758,160763638,160837980,160886629,160972232,160973327,160973572,160974894,","160721435,160758134,160761911,160763776,160838063,160886850,160972300,160973419,160973801,160975125,",P47870-1,uc003lyr.1,59985,uc003lyr.1,BC105639,P47870-1,P47870-1,GABRB2,NM_000813,NP_000804,"Homo sapiens gamma-aminobutyric acid (GABA) A receptor, beta 2 (GABRB2), transcript variant 2, mRNA.",,
670,uc010kgv.3,['G2436.1'],,uc010kgv.3,chr6,-,136663418,136847744,136665365,136847102,19,"136663418,136666993,136677829,136680957,136681118,136681834,136682142,136683587,136686872,136687464,136693638,136698892,136704808,136709530,136710491,136732757,136742838,136846969,136847499,","136665376,136667217,136677932,136681015,136681169,136681936,136682317,136683840,136687156,136687577,136693763,136699006,136704919,136709648,136710655,136732835,136742937,136847109,136847744,",E9PCP3,uc010kgv.3,63877,uc010kgv.3,NM_001198614,E9PCP3,E9PCP3_HUMAN,MAP7,NM_001198614,NP_001185548,"Homo sapiens microtubule-associated protein 7 (MAP7), transcript variant 2, mRNA.",,
671,uc010vpj.2,['G1096.1'],['G965.1'],uc010vpj.2,chr16,+,89627064,89633237,89627367,89629450,7,"89627064,89627347,89627634,89627985,89628147,89628742,89629291,","89627120,89627471,89627776,89628006,89628159,89628799,89633237,",F5H1S2,uc010vpj.2,28354,uc010vpj.2,NM_001243131,F5H1S2,F5H1S2_HUMAN,RPL13,NM_001243131,NP_001230060,"Homo sapiens ribosomal protein L13 (RPL13), transcript variant 4, mRNA.",,
672,uc003juc.4,['G2126.1'],,uc003juc.4,chr5,+,64920557,64961954,64920887,64960438,12,"64920557,64931127,64931770,64933522,64942881,64946636,64948327,64954194,64956525,64957876,64960063,64960330,","64920933,64931196,64931870,64933607,64943009,64946709,64948372,64954328,64956724,64957977,64960211,64961954,",A5PLN9-2,uc003juc.4,57305,uc003juc.4,NM_001093756,A5PLN9-2,A5PLN9-2,TRAPPC13,NM_001093756,NP_001087225,"Homo sapiens trafficking protein particle complex 13 (TRAPPC13), transcript variant 3, mRNA.",,
673,uc021pbz.1,['G273.1' 'G273.2'],,uc021pbz.1,chr1,-,161391882,161391954,161391882,161391882,1,"161391882,","161391954,",uc021pbz.1,,81106,uc021pbz.1,,,,TRNA_Glu,,,transfer RNA Glu (anticodon TTC),,chr1.tRNA84-GluTTC
674,uc011cyw.2,['G2254.1' 'G2255.1' 'G2255.2'],['G1928.1'],uc011cyw.2,chr5,-,137893030,137911318,137893179,137909472,13,"137893030,137894241,137895552,137897268,137902314,137902689,137903143,137903337,137904613,137906648,137909451,137909756,137910926,","137893185,137894346,137895780,137897478,137902407,137902852,137903250,137903411,137904738,137906830,137909539,137909858,137911318,",P38646,uc011cyw.2,59622,uc011cyw.2,AK293990,P38646,GRP75_HUMAN,HSPA9,,,"Homo sapiens heat shock 70kDa protein 9 (mortalin) (HSPA9), nuclear gene encoding mitochondrial protein, mRNA.",,
675,uc010smh.1,['G689.1' 'G690.1' 'G690.2' 'G691.1' 'G691.2' 'G692.1' 'G692.2' 'G693.1'],['G630.1' 'G631.1' 'G631.2' 'G631.3'],uc010smh.1,chr12,+,49621708,49667113,49621736,49667010,4,"49621708,49663247,49663610,49666035,","49621949,49663470,49663759,49667113,",F5H5D3,uc010smh.1,16185,uc010smh.1,AK293589,F5H5D3,F5H5D3_HUMAN,TUBA1C,NM_032704,NP_116093,"Homo sapiens tubulin, alpha 1c (TUBA1C), mRNA.",,
676,uc010kgt.2,['G2436.1'],,uc010kgt.2,chr6,-,136693638,136847848,136693638,136847102,9,"136693638,136698892,136704808,136709530,136710491,136732757,136742838,136846969,136847730,","136693763,136699006,136704919,136709648,136710655,136732835,136742937,136847109,136847848,",NP_001185543,uc010kgt.2,63887,uc010kgt.2,AK311234,,,MAP7,NM_001198614,NP_001185543,"Homo sapiens microtubule-associated protein 7 (MAP7), transcript variant 2, mRNA.",,
677,uc010zow.3,['G1678.1'],,uc010zow.3,chr2,-,242439205,242448110,242439387,242447450,5,"242439205,242440154,242440892,242447420,242447857,","242439696,242440211,242441123,242447550,242448110,",B4DZ52,uc010zow.3,45115,uc010zow.3,AK302751,B4DZ52,B4DZ52_HUMAN,STK25,NM_006374,NP_006365,"Homo sapiens serine/threonine kinase 25 (STK25), transcript variant 1, mRNA.",,
678,uc021pcg.1,['G275.1'],,uc021pcg.1,chr1,-,161417374,161417446,161417374,161417374,1,"161417374,","161417446,",uc021pcg.1,,81113,uc021pcg.1,,,,TRNA_Gly,,,transfer RNA Gly (anticodon TCC),,chr1.tRNA79-GlyTCC
679,uc010kgr.2,['G2436.1'],,uc010kgr.2,chr6,-,136686872,136847848,136686873,136709618,8,"136686872,136687464,136693638,136698892,136704808,136709530,136742920,136847730,","136687156,136687577,136693763,136699006,136704919,136709648,136742937,136847848,",NP_001185548,uc010kgr.2,63886,uc010kgr.2,AK311114,,,MAP7,NM_001198619,NP_001185548,"Homo sapiens microtubule-associated protein 7 (MAP7), transcript variant 10, mRNA.",,
680,uc010zou.3,['G1678.1'],,uc010zou.3,chr2,-,242434121,242448110,242435076,242440190,11,"242434121,242435812,242437030,242437649,242438053,242438403,242438671,242439587,242440154,242440892,242447919,","242435116,242435949,242437102,242437764,242438199,242438589,242438829,242439696,242440211,242441123,242448110,",O00506,uc010zou.3,45113,uc010zou.3,NR_073533,O00506,STK25_HUMAN,STK25,NM_006374,NP_006365,"Homo sapiens serine/threonine kinase 25 (STK25), transcript variant 7, non-coding RNA.",,
681,uc003lna.3,['G2259.1'],['G1930.1'],uc003lna.3,chr5,-,142657495,142783254,142658928,142780404,9,"142657495,142662132,142675024,142678232,142680049,142689661,142693566,142779220,142782775,","142658976,142662290,142675155,142678377,142680328,142689778,142693733,142780417,142783254,",E5KQF5,uc003lna.3,59745,uc003lna.3,NM_001020825,E5KQF5,E5KQF5_HUMAN,NR3C1,NM_001020825,NP_001018661,"Homo sapiens nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) (NR3C1), transcript variant 6, mRNA.",,
682,uc002ixe.2,['G1269.1'],,uc002ixe.2,chr17,-,57187307,57232800,57187307,57187307,3,"57187307,57208641,57232491,","57189706,57208728,57232800,",uc002ixe.2,,33611,uc002ixe.2,AK022820,,,SKA2,,,"Homo sapiens spindle and kinetochore associated complex subunit 2 (SKA2), transcript variant 2, mRNA.",,
683,uc003jme.1,['G2200.1' 'G2200.2'],['G1891.1'],uc003jme.1,chr5,-,40831429,40835387,40832605,40835287,4,"40831429,40834282,40834572,40835284,","40832675,40834367,40834708,40835387,",P61927,uc003jme.1,58912,uc003jme.1,NM_000997,P61927,RL37_HUMAN,RPL37,NM_000997,NP_000988,"Homo sapiens ribosomal protein L37 (RPL37), mRNA.",,
684,uc001bqd.3,['G42.1' 'G42.2' 'G42.3' 'G44.1' 'G44.2' 'G44.3'],['G21.1' 'G21.2' 'G23.1'],uc001bqd.3,chr1,+,28832454,28837404,28832470,28835485,4,"28832454,28832731,28834639,28835341,","28832596,28832839,28834672,28837404,",uc001bqd.3,,774,uc001bqd.3,NR_036473,,,SNHG3,NR_036473,,"Homo sapiens small nucleolar RNA host gene 3 (non-protein coding) (SNHG3), transcript variant 1, non-coding RNA.",,
685,uc021ohf.2,['G35.1' 'G35.2'],['G13.1'],uc021ohf.2,chr1,+,17197439,17200574,17197439,17197439,2,"17197439,17200217,","17199602,17200574,",uc021ohf.2,,473,uc021ohf.2,AK125737,,,AK125737,,,"Homo sapiens cDNA FLJ43749 fis, clone TESTI2034749.",,
686,uc001mqs.3,['G453.1'],['G360.1'],uc001mqs.3,chr11,+,24518515,25104186,24518789,25100204,12,"24518515,24750714,24753663,24759766,24784791,24927536,24936021,24998136,25004671,25071583,25098874,25100099,","24518851,24750832,24753734,24759848,24784854,24927599,24936084,24998211,25004839,25071676,25098952,25104186,",Q86TE4,uc001mqs.3,11487,uc001mqs.3,NM_001009909,Q86TE4,LUZP2_HUMAN,LUZP2,NM_001009909,NP_001238937,"Homo sapiens leucine zipper protein 2 (LUZP2), transcript variant 1, mRNA.",,
687,uc009xel.2,['G317.1'],,uc009xel.2,chr1,-,226420413,226497204,226420792,226496888,13,"226420413,226421044,226426671,226438539,226453233,226453913,226455657,226465475,226474033,226475364,226485419,226488873,226496809,","226420894,226421224,226426797,226438620,226453335,226454033,226455791,226465633,226474159,226475498,226485514,226488906,226497204,",C9J5J4,uc009xel.2,7512,uc009xel.2,AK308823,C9J5J4,C9J5J4_HUMAN,LIN9,NM_001270409,NP_001257338,"Homo sapiens lin-9 homolog (C. elegans) (LIN9), transcript variant 2, mRNA.",,
688,uc021ujt.1,['G1327.1' 'G1327.2' 'G1328.1' 'G1328.2' 'G1329.1' 'G1329.2'],['G1141.1' 'G1142.1' 'G1142.2' 'G1143.1'],uc021ujt.1,chr18,-,47007547,47018935,47009961,47017264,7,"47007547,47009953,47015728,47016823,47017162,47017901,47018827,","47008780,47010141,47015920,47016922,47017297,47017954,47018935,",NP_001186285,uc021ujt.1,35300,uc021ujt.1,NM_001199356,J3QL51,J3QL51_HUMAN,RPL17-C18orf32,NM_001199356,NP_001186285,"Homo sapiens RPL17-C18orf32 readthrough (RPL17-C18orf32), transcript variant 2, mRNA.",,
689,uc021ujz.1,['G1327.1' 'G1327.2' 'G1328.1' 'G1328.2' 'G1329.1' 'G1329.2'],['G1141.1' 'G1142.1' 'G1142.2' 'G1143.1'],uc021ujz.1,chr18,-,47014850,47018935,47014888,47017941,8,"47014850,47015728,47016823,47017162,47017774,47017901,47018105,47018827,","47014936,47015920,47016922,47017297,47017815,47017954,47018203,47018935,",P18621,uc021ujz.1,35292,uc021ujz.1,NM_001199340,P18621,RL17_HUMAN,RPL17,NM_001199340,NP_001186274,"Homo sapiens ribosomal protein L17 (RPL17), transcript variant 3, mRNA.",,
690,uc021viz.1,['G1598.1'],['G1373.1'],uc021viz.1,chr2,-,70476122,70476193,70476122,70476122,1,"70476122,","70476193,",uc021viz.1,,81328,uc021viz.1,,,,TRNA_Gly,,,transfer RNA Gly (anticodon CCC),,chr2.tRNA27-GlyCCC
691,uc011dmb.3,['G2310.1'],,uc011dmb.3,chr6,+,29795823,29977733,29795894,29798159,6,"29795823,29796319,29797194,29797592,29798154,29977311,","29796093,29796595,29797470,29797709,29798187,29977733,",P17693,uc011dmb.3,60634,uc011dmb.3,U88244,P17693,HLAG_HUMAN,HLA-G,NM_002127,NP_002118,"Homo sapiens major histocompatibility complex, class I, G (HLA-G), mRNA.",,
692,uc003sry.2,['G2467.1'],,uc003sry.2,chr7,+,11013498,11147376,11013950,11142125,17,"11013498,11014461,11021998,11030329,11053373,11062494,11068307,11075266,11076044,11076611,11078386,11080298,11082309,11091238,11101417,11101590,11142112,","11013951,11014572,11022786,11030474,11053533,11062606,11068445,11075413,11076315,11076718,11078482,11080402,11082441,11091407,11101468,11101712,11147376,",O94880,uc003sry.2,68233,uc003sry.2,NM_014660,O94880,PHF14_HUMAN,PHF14,NM_014660,NP_055475,"Homo sapiens PHD finger protein 14 (PHF14), transcript variant 2, mRNA.",,
693,uc021ujx.1,['G1327.1' 'G1327.2' 'G1328.1' 'G1328.2' 'G1329.1' 'G1329.2'],['G1141.1' 'G1142.1' 'G1142.2' 'G1143.1'],uc021ujx.1,chr18,-,47014850,47018834,47014888,47017941,7,"47014850,47015728,47016823,47017162,47017774,47017901,47018644,","47014936,47015920,47016922,47017297,47017815,47017954,47018834,",P18621,uc021ujx.1,35296,uc021ujx.1,NM_001199344,P18621,RL17_HUMAN,RPL17,NM_001199344,NP_001186274,"Homo sapiens ribosomal protein L17 (RPL17), transcript variant 7, mRNA.",,
694,uc010buf.1,['G1049.1'],,uc010buf.1,chr16,+,6069131,7703949,7102072,7703947,11,"6069131,6704603,7102057,7568148,7629778,7637248,7645550,7647372,7657286,7680604,7703816,","6069993,6704651,7102099,7568391,7629922,7637302,7645643,7647433,7657340,7680685,7703949,",Q9NWB1,uc010buf.1,27044,uc010buf.1,AL713700,Q9NWB1,RFOX1_HUMAN,RBFOX1,NM_018723,NP_061193,"Homo sapiens RNA binding protein, fox-1 homolog (C. elegans) 1 (RBFOX1), transcript variant 4, mRNA.",,
695,uc009xhq.3,['G382.1' 'G383.1'],"['G285.1' 'G286.1' 'G287.1' 'G288.1' 'G289.1' 'G289.2' 'G289.3' 'G289.4'
 'G290.1' 'G291.1' 'G292.1' 'G293.1' 'G293.2' 'G293.3' 'G294.1' 'G295.1'
 'G296.1' 'G298.1' 'G299.1' 'G301.1' 'G302.1' 'G303.1' 'G304.1' 'G304.2'
 'G305.1' 'G306.1' 'G307.1' 'G308.1']",uc009xhq.3,chr10,-,1223252,1779670,1229132,1779344,10,"1223252,1230800,1245905,1262890,1279635,1284193,1313149,1405222,1421268,1779244,","1229309,1230979,1246087,1263059,1279787,1284362,1313264,1406112,1421355,1779670,",Q9NS39,uc009xhq.3,9402,uc009xhq.3,NM_018702,Q9NS39,RED2_HUMAN,ADARB2,NM_018702,NP_061172,"Homo sapiens adenosine deaminase, RNA-specific, B2 (non-functional) (ADARB2), mRNA.",,
696,uc004dbk.4,['G2893.1'],,uc004dbk.4,chrX,-,24576203,24665455,24580201,24665222,9,"24576203,24580559,24593246,24597432,24605357,24608139,24625861,24637101,24665105,","24580234,24580622,24593435,24597575,24605436,24608291,24625978,24637201,24665455,",Q9Y5K3-2,uc004dbk.4,79405,uc004dbk.4,NM_001163265,Q9Y5K3-2,Q9Y5K3-2,PCYT1B,NM_001163265,NP_001156737,"Homo sapiens phosphate cytidylyltransferase 1, choline, beta (PCYT1B), transcript variant 3, mRNA.",,
697,uc010ltj.1,['G2625.1'],,uc010ltj.1,chr8,+,21778924,21834032,21778924,21778924,7,"21778924,21824367,21826993,21827654,21829386,21832180,21833866,","21779137,21824514,21827087,21827821,21829452,21832285,21834032,",uc010ltj.1,,72067,uc010ltj.1,AK311616,,,XPO7,,,"Homo sapiens exportin 7 (XPO7), mRNA.",,
698,uc010nfp.3,['G2942.1'],,uc010nfp.3,chrX,-,20154183,20154531,20154183,20154183,1,"20154183,","20154531,",uc010nfp.3,,79381,uc010nfp.3,NR_023358,,,SCARNA9L,NR_023358,,"Homo sapiens small Cajal body-specific RNA 9-like (SCARNA9L), guide RNA.",,
699,uc011efo.2,['G2374.1'],,uc011efo.2,chr6,+,158733691,158902570,158735048,158902413,8,"158733691,158834096,158850767,158870027,158873165,158882594,158900782,158902086,","158735300,158834225,158850929,158870208,158873300,158882761,158901007,158902570,",B4E202,uc011efo.2,62117,uc011efo.2,AK304056,B4E202,B4E202_HUMAN,TULP4,NM_001007466,NP_001007467,"Homo sapiens tubby like protein 4 (TULP4), transcript variant 2, mRNA.",,
700,uc010zyh.3,['G1706.1'],,uc010zyh.3,chr20,+,47689104,47713497,47689221,47712724,17,"47689104,47691321,47691854,47693516,47695097,47700562,47701819,47704545,47705783,47706074,47707278,47707473,47708582,47710676,47711268,47712712,47712885,","47689234,47691387,47692057,47693601,47695159,47700699,47701923,47704643,47705934,47706283,47707376,47707559,47708664,47710823,47711500,47712737,47713497,",P55060-3,uc010zyh.3,45885,uc010zyh.3,AK298477,P55060-3,P55060-3,CSE1L,,,"Homo sapiens CSE1 chromosome segregation 1-like (yeast) (CSE1L), transcript variant 3, non-coding RNA.",,
701,uc003ozs.3,['G2411.1'],,uc003ozs.3,chr6,-,49695091,49712168,49696442,49712080,8,"49695091,49698875,49700907,49701415,49703216,49704103,49705037,49712043,","49696570,49698964,49701005,49701561,49703304,49704220,49705111,49712168,",P54108-2,uc003ozs.3,63247,uc003ozs.3,NM_006061,P54108-2,P54108-2,CRISP3,NM_006061,NP_006052,"Homo sapiens cysteine-rich secretory protein 3 (CRISP3), transcript variant 1, mRNA.",,
702,uc004ebl.4,['G2908.1'],,uc004ebl.4,chrX,+,72782983,72906937,72783120,72900840,5,"72782983,72797242,72804252,72899160,72900789,","72783416,72797297,72804408,72899217,72906937,",Q5VXU3-2,uc004ebl.4,78405,uc004ebl.4,BC127727,Q5VXU3-2,Q5VXU3-2,CHIC1,NM_001039840,,"Homo sapiens cysteine-rich hydrophobic domain 1 (CHIC1), mRNA.",,
703,uc010anj.1,['G885.1' 'G885.2'],['G799.1'],uc010anj.1,chr14,-,50033026,50319539,50033027,50319471,34,"50033026,50251354,50251642,50251809,50251937,50253435,50255863,50256213,50262508,50266192,50266353,50267137,50269170,50269386,50269954,50272738,50280705,50281471,50292584,50295008,50295333,50295771,50296066,50298016,50298768,50298924,50300140,50301080,50304856,50307435,50312857,50318280,50318524,50319412,","50033049,50251431,50251722,50251853,50252038,50253468,50256061,50256291,50262662,50266242,50266396,50267414,50269291,50269445,50270012,50272851,50280768,50281575,50292673,50295072,50295525,50295980,50296144,50298079,50298844,50298995,50300214,50301167,50304924,50307584,50312983,50318383,50318593,50319539,",O60524,uc010anj.1,22562,uc010anj.1,BC148732,O60524,NEMF_HUMAN,NEMF,NM_004713,NP_004704,"Homo sapiens nuclear export mediator factor (NEMF), mRNA.",,
704,uc001hwm.1,['G324.1'],,uc001hwm.1,chr1,-,235291117,235291252,235291117,235291117,1,"235291117,","235291252,",uc001hwm.1,,7603,uc001hwm.1,NR_002956,,,SNORA14B,NR_002956,,"Homo sapiens small nucleolar RNA, H/ACA box 14B (SNORA14B), small nucleolar RNA.",,
705,uc010sce.2,['G563.1'],,uc010sce.2,chr11,-,130745765,130786344,130748316,130780218,11,"130745765,130749518,130750516,130773149,130775847,130776519,130777847,130779912,130780164,130781527,130786174,","130748449,130749606,130750701,130773279,130776028,130776616,130777978,130780032,130780265,130781666,130786344,",E9PLV3,uc010sce.2,15459,uc010sce.2,AK316414,E9PLV3,E9PLV3_HUMAN,SNX19,NM_014758,NP_055573,"Homo sapiens sorting nexin 19 (SNX19), mRNA.",,
706,uc010cpe.2,['G1163.1' 'G1164.1' 'G1164.2' 'G1165.1' 'G1165.2'],['G1012.1' 'G1013.1' 'G1013.2'],uc010cpe.2,chr17,+,16342300,16373962,16342300,16342300,7,"16342300,16342640,16343498,16364206,16366146,16366480,16373615,","16342374,16342728,16343567,16364559,16366255,16366631,16373962,",uc010cpe.2,,30231,uc010cpe.2,NR_027176,,,C17orf76-AS1,NR_027176,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 20, non-coding RNA.",,
707,uc010yhz.1,['G1404.1'],,uc010yhz.1,chr19,+,58846117,58853712,58846168,58850234,2,"58846117,58849619,","58846555,58853712,",uc010yhz.1,,37846,uc010yhz.1,BC143446,,,ZSCAN22,,,"Homo sapiens zinc finger and SCAN domain containing 22 (ZSCAN22), mRNA.",,
708,uc002gsn.2,['G1168.1'],,uc002gsn.2,chr17,-,18079875,18088067,18079875,18079875,2,"18079875,18087710,","18081679,18088067,",uc002gsn.2,,32512,uc002gsn.2,BC038464,,,BC038464,,,"Homo sapiens, Similar to hypothetical protein MGC24986, clone IMAGE:5198428, mRNA.",,
709,uc003gkb.4,['G2000.1'],['G1718.1' 'G1718.2'],uc003gkb.4,chr4,+,7194373,7744564,7194373,7741991,27,"7194373,7398014,7533256,7640054,7655860,7663226,7666079,7668850,7677776,7684469,7691212,7698924,7705006,7705903,7714459,7715966,7716909,7719738,7725423,7726880,7728506,7730076,7731313,7735048,7735998,7738795,7741926,","7194853,7398082,7533356,7640219,7655934,7663291,7666198,7668940,7677956,7684616,7691315,7699001,7705098,7706011,7714580,7716100,7717038,7719910,7725610,7727014,7728630,7730189,7731439,7735148,7736101,7738899,7744564,",Q96PQ0,uc003gkb.4,54343,uc003gkb.4,NM_020777,Q96PQ0,SORC2_HUMAN,SORCS2,NM_020777,NP_065828,"Homo sapiens sortilin-related VPS10 domain containing receptor 2 (SORCS2), mRNA.",,
710,uc010afz.2,['G872.1'],,uc010afz.2,chr13,+,100153627,100216302,100153860,100215012,13,"100153627,100169867,100172289,100192967,100193812,100196116,100199238,100201418,100204420,100206557,100207789,100211616,100214944,","100154031,100169935,100172383,100193047,100193921,100196249,100199358,100201476,100204580,100206709,100207901,100211788,100216302,",Q99805,uc010afz.2,19811,uc010afz.2,AK225800,Q99805,TM9S2_HUMAN,TM9SF2,NM_004800,NP_004791,"Homo sapiens transmembrane 9 superfamily member 2 (TM9SF2), mRNA.",,
711,uc010hyw.1,['G1918.1'],,uc010hyw.1,chr3,+,186505087,186505222,186505087,186505087,1,"186505087,","186505222,",uc010hyw.1,,51910,uc010hyw.1,NR_002586,,,SNORA63,NR_002586,,"Homo sapiens small nucleolar RNA, H/ACA box 63 (SNORA63), small nucleolar RNA.",,
712,uc031qct.1,['G537.1' 'G538.1' 'G539.1'],['G482.1' 'G483.1' 'G483.2'],uc031qct.1,chr11,+,75110534,75117957,75115091,75115909,6,"75110534,75112683,75113395,75115063,75115715,75116657,","75110621,75112777,75113490,75115251,75115912,75117957,",NP_001247436,uc031qct.1,12551,uc031qct.1,NM_001260507,Q9NQS8,Q9NQS8_HUMAN,RPS3,NM_001260507,NP_001247436,"Homo sapiens ribosomal protein S3 (RPS3), transcript variant 4, mRNA.",,
713,uc011lof.1,['G2796.1'],,uc011lof.1,chr9,-,33923376,34048885,33923377,33998847,25,"33923376,33923792,33924203,33926614,33926986,33927794,33932559,33933487,33935836,33941646,33943417,33944362,33948371,33953282,33956076,33960823,33963723,33971648,33973180,33986757,33988970,33998784,34011624,34017047,34048822,","33923476,33923998,33924282,33926662,33927078,33927990,33932626,33933626,33935876,33941860,33943587,33944637,33948585,33953472,33956144,33960876,33963789,33971752,33973235,33986835,33989124,33998862,34011662,34017187,34048885,",Q5T6F2,uc011lof.1,76149,uc011lof.1,AK294952,Q5T6F2,UBAP2_HUMAN,UBAP2,,,"Homo sapiens ubiquitin associated protein 2 (UBAP2), mRNA.",,
714,uc001urb.2,['G811.1' 'G811.2'],['G733.1'],uc001urb.2,chr13,+,27829200,27829272,27829200,27829200,1,"27829200,","27829272,",uc001urb.2,,19406,uc001urb.2,NR_002574,,,SNORD102,NR_002574,,"Homo sapiens small nucleolar RNA, C/D box 102 (SNORD102), small nucleolar RNA.",,
715,uc001cmk.1,['G57.1' 'G57.2'],,uc001cmk.1,chr1,+,45242163,45242261,45242163,45242163,1,"45242163,","45242261,",uc001cmk.1,,1191,uc001cmk.1,NR_000024,,,SNORD46,NR_000024,,"Homo sapiens small nucleolar RNA, C/D box 46 (SNORD46), small nucleolar RNA.",,
716,uc010hyu.1,['G1916.1' 'G1916.2'],['G1649.1' 'G1649.2'],uc010hyu.1,chr3,+,186502584,186502654,186502584,186502584,1,"186502584,","186502654,",uc010hyu.1,,51911,uc010hyu.1,NR_002587,,,SNORD2,NR_002587,,"Homo sapiens small nucleolar RNA, C/D box 2 (SNORD2), small nucleolar RNA.",,
717,uc003soq.4,['G2552.1' 'G2554.1' 'G2554.2'],['G2157.1'],uc003soq.4,chr7,-,5566778,5570232,5567378,5568347,7,"5566778,5567634,5567911,5568649,5568791,5569165,5570154,","5567522,5567816,5568350,5568690,5569031,5569294,5570232,",P60709,uc003soq.4,70162,uc003soq.4,AK309997,P60709,ACTB_HUMAN,ACTB,,,"Homo sapiens actin, beta (ACTB), mRNA.",,
718,uc002gty.3,['G1238.1'],,uc002gty.3,chr17,-,18414575,18445234,18414575,18414575,10,"18414575,18417902,18418659,18420498,18422795,18431886,18435819,18436025,18436660,18444240,","18416772,18417995,18419084,18420787,18422988,18432061,18435911,18436216,18436705,18445234,",uc002gty.3,,32555,uc002gty.3,AK124785,,,USP32P2,,,"Homo sapiens ubiquitin specific peptidase 32 pseudogene 2 (USP32P2), non-coding RNA.",,
719,uc001voj.2,['G872.1'],,uc001voj.2,chr13,+,100153627,100216302,100153860,100215012,17,"100153627,100169867,100172289,100181720,100188861,100189992,100191699,100192967,100193812,100196116,100199238,100201418,100204420,100206557,100207789,100211616,100214944,","100154031,100169935,100172383,100181848,100188991,100190117,100191811,100193047,100193921,100196249,100199358,100201476,100204580,100206709,100207901,100211788,100216302,",Q99805,uc001voj.2,19810,uc001voj.2,NM_004800,Q99805,TM9S2_HUMAN,TM9SF2,NM_004800,NP_004791,"Homo sapiens transmembrane 9 superfamily member 2 (TM9SF2), mRNA.",,
720,uc001cmi.3,['G57.1' 'G57.2' 'G58.1' 'G58.2' 'G59.1'],['G31.1'],uc001cmi.3,chr1,+,45241245,45244412,45241268,45244357,6,"45241245,45241705,45242346,45243285,45243671,45244247,","45241272,45241812,45242446,45243461,45243801,45244412,",P62241,uc001cmi.3,1189,uc001cmi.3,NM_001012,P62241,RS8_HUMAN,RPS8,NM_001012,NP_001003,"Homo sapiens ribosomal protein S8 (RPS8), mRNA.",,
721,uc003qrf.3,['G2374.1'],,uc003qrf.3,chr6,+,158733691,158932856,158735048,158927726,14,"158733691,158834096,158850767,158870027,158873165,158882594,158900782,158902086,158910619,158914604,158915784,158919700,158922709,158927609,","158735300,158834225,158850929,158870208,158873300,158882761,158901007,158902321,158910764,158914749,158915878,158919844,158925210,158932856,",Q9NRJ4,uc003qrf.3,62115,uc003qrf.3,NM_020245,Q9NRJ4,TULP4_HUMAN,TULP4,NM_020245,NP_064630,"Homo sapiens tubby like protein 4 (TULP4), transcript variant 1, mRNA.",,
