,Absolute Distance,Cluster,Dataset,FeatureSubtype,FeatureSubtypeIndex,FeatureType,FeatureTypeIndex,Relative Distance
33091,290.0,G1673.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.03720810880164229
33697,13.0,G1706.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,19.0,Splice Junction ,40.0,0.00025633441782510106
89263,807.0,G1429.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,3.0,Splice Junction ,6.0,0.013971364761690414
31440,0.0,G1552.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,23.0,Splice Junction ,46.0,0.0
91993,4906.0,G1671.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,8.0,0.14799843132522852
90280,7906.0,G1550.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.27399064286952
4408,30433.0,G186.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,7.0,0.030915812239748146
85503,13.0,G1202.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,12.0,Splice Junction ,25.0,0.0013818027210884354
52858,947.0,G2857.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.2794334611979935
52864,986.0,G2857.2,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.29094128061375035
85319,14.0,G1199.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,4.0,Splice Junction ,9.0,0.001488095238095238
85405,1.0,G1200.3,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.00010629251700680272
85377,53.0,G1200.2,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.005633503401360544
85349,104.0,G1200.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.011054421768707483
34493,436.0,G1734.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.019626378573036236
50550,7751.0,G2679.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,7.0,0.04819164744430697
97965,32105.0,G2063.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,4.0,0.16580677481162429
101209,3764.0,G2336.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.3215719777872704
17305,94.0,G670.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.002830387522206498
812,34.0,G49.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,5.0,0.0014876394661999563
101187,1841.0,G2329.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.15728321230243486
64695,41.0,G194.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.010031808172253487
102315,1048.0,G2476.2,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.1812208196437835
40242,608.0,G2120.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,15.0,Splice Junction ,30.0,0.005159801076090093
4544,54.0,G190.1,IonXpress_SFPQ_N,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,1.0,Splice Junction ,22.0,0.002984579671696236
30950,136.0,G1542.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,6.0,0.03922699740409576
26201,422.0,G1238.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,18.0,0.01376431064287811
104637,52.0,G2593.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,29.0,Splice Junction ,58.0,0.001991802964722105
50077,536.0,G2569.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,6.0,0.1475364712358932
103826,18.0,G2591.3,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,1.0,Splice Junction ,27.0,0.0018322475570032573
103603,61.0,G2591.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,26.0,0.00620928338762215
103381,4.0,G2591.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,26.0,0.00040716612377850165
39711,118.0,G2071.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,3.0,0.01580709979906229
1213,134.0,G59.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,10.0,0.04231133564887907
25981,155.0,G1215.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.02043506921555702
101195,1029.0,G2332.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.08791114908158906
101197,1077.0,G2332.2,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.09201196070055531
8966,450622.0,G256.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,91.0,Splice Junction ,198.0,0.19415545638092252
43460,41.0,G2330.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,21.0,0.005308817816910527
99734,22187.0,G2138.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.0546278696435782
103186,4197.0,G2581.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,5.0,0.08372232196289647
75545,19625.0,G640.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.24907667119341043
101207,2906.0,G2335.2,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.2482699700982486
102089,19437.0,G2443.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,20.0,Splice Junction ,40.0,0.03530886400174392
1167,144.0,G57.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.04546889801073571
1177,88.0,G57.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.02778654878433849
61688,737.0,G141.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.03190338080602571
79633,328.0,G882.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.011560693641618497
22113,5055.0,G1063.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.0523839625281091
96147,122.0,G1971.1,IonXpress_NONO_N,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to Coding_Region,1.0,Splice Junction ,6.0,0.025159826768405856
32706,3024.0,G1617.2,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.027396515641562254
32698,3058.0,G1617.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.02770454524864331
22500,1715.0,G1079.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,9.0,0.01988405797101449
22636,1752.0,G1079.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,9.0,0.02031304347826087
76353,30493.0,G668.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,20.0,0.09360083738262677
57121,230.0,G23.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,6.0,0.046464646464646465
93925,51744.0,G1754.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,13.0,0.3059512195121951
94493,5610.0,G1838.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,2.0,Splice Junction ,3.0,0.04980247680767012
93939,51781.0,G1754.2,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,13.0,0.306169992609017
35941,94.0,G1862.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,9.0,Splice Junction ,18.0,0.010962099125364432
33893,104.0,G1708.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.009385434527569713
96327,0.0,G2005.1,IonXpress_NONO_N,Splice Junction 5'-UTR to Exon from 5'-UTR to 3'-UTR,,Splice Junction ,1.0,0.0
72851,154.0,G557.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,2.0,0.05319516407599309
34520,43854.0,G1756.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,13.0,Splice Junction ,27.0,0.48184325316163623
35684,60.0,G1860.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,13.0,0.006997084548104956
22262,59.0,G1067.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,15.0,0.0034043044255957534
22384,36.0,G1067.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,15.0,0.0020772027003635105
20686,30.0,G960.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,3.0,0.004659832246039142
87532,0.0,G1351.1,IonXpress_NONO_N,Splice Junction 5'-UTR to Exon from 5'-UTR to 3'-UTR,,Splice Junction ,1.0,0.0
101186,40070.0,G2308.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,20.0,0.12824164605049654
42900,2502.0,G2269.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.19247634433417954
19288,8256.0,G781.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,22.0,Splice Junction ,47.0,0.03954307062288957
19236,8232.0,G781.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,22.0,Splice Junction ,47.0,0.03942811983619513
88193,3084.0,G1371.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,10.0,0.04186633723850509
95962,35636.0,G1949.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.19897375194724706
144,516.0,G35.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.1645933014354067
162,496.0,G35.2,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.15821371610845295
61208,81.0,G123.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.024419656315948148
101220,3241.0,G2338.3,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.27689021785561724
61242,109.0,G123.2,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.032861018993066024
35465,21094.0,G1856.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,20.0,Splice Junction ,40.0,0.0294785562858193
19016,108.0,G771.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,6.0,Splice Junction ,12.0,0.013681276919179123
19141,227.0,G777.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,8.0,0.010705527259007735
102407,766.0,G2494.2,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.09226692363285956
102405,828.0,G2494.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.09973500361358709
94990,70.0,G1854.2,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,6.0,0.013015991074748977
35405,127.0,G1854.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,1.0,Splice Junction ,4.0,0.02178761365585864
56686,2957.0,G7.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,3.0,Splice Junction ,7.0,0.018977877327309017
61630,2945.0,G135.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,1.0,Splice Junction ,5.0,0.09204275534441805
87219,143.0,G1330.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,10.0,0.042865707434052755
73560,32711.0,G584.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.10388962818749742
73590,32754.0,G584.2,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.1040261955199563
77948,86.0,G763.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,6.0,0.0009528452402056373
14384,0.0,G588.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,7.0,0.0
18987,493.0,G765.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.10883002207505518
43118,19744.0,G2310.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,1.0,Splice Junction ,9.0,0.10853718871969656
68560,7703.0,G357.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,2.0,Splice Junction ,3.0,0.028496278429689697
87549,2018.0,G1364.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,12.0,0.05290478187919463
102410,13237.0,G2498.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,2.0,Splice Junction ,3.0,0.05161710457562216
73350,22065.0,G578.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.07007809745825963
73230,17944.0,G574.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.05698986543353776
30083,641.0,G1520.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,69.0,0.002388182038337587
76260,100.0,G660.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,22.0,0.002140594228957959
17259,25.0,G660.2,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,6.0,Splice Junction ,15.0,0.006324310650139135
73290,20037.0,G576.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.0636372009413618
73110,3744.0,G570.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.011890885877349832
32478,222.0,G1591.1,IonXpress_SFPQ_N,Splice Junction Intron from 3'-UTR to 3'-UTR to Exon from 3'-UTR to 3'-UTR,1.0,Splice Junction ,48.0,0.0037514574919309865
83338,921.0,G1077.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,6.0,0.02217727371234559
70305,123.0,G483.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,10.0,0.016570119897615518
70259,144.0,G483.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,10.0,0.019399164758184023
73860,45640.0,G592.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.14495193147495894
10280,4069.0,G317.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,8.0,Splice Junction ,16.0,0.05193031714632123
17883,196.0,G698.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,5.0,0.005344094230559494
100802,12327.0,G2265.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.0844893762851268
100820,12293.0,G2265.2,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.08425633995887594
89300,24803.0,G1448.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,3.0,0.11917643667115126
89316,24956.0,G1448.2,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,3.0,0.11991158946761483
88680,2829.0,G1418.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to 3'-UTR to Intron from 3'-UTR to 3'-UTR,1.0,Splice Junction ,25.0,0.03130671506352087
100288,1634.0,G2207.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.009924443040742451
100344,1565.0,G2207.3,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.009505357012706203
100316,1585.0,G2207.2,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.009626831223731203
56770,175.0,G9.2,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 5'-UTR to Intron from 5'-UTR to 5'-UTR,1.0,Splice Junction ,1.0,0.0008708113971795662
35069,1632.0,G1836.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,4.0,0.05435651478816946
81828,44.0,G1005.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,8.0,Splice Junction ,39.0,0.0025858015984955335
79943,134.0,G902.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,5.0,Splice Junction ,11.0,0.02418336040425916
34846,96.0,G1830.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,2.0,Splice Junction ,5.0,0.014150943396226415
78701,37933.0,G851.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.3222170312168189
68859,0.0,G466.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
34632,7906.0,G1782.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.27399064286952
68863,0.0,G466.3,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
68861,0.0,G466.2,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
35025,485.0,G1832.2,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.07149174528301887
34966,468.0,G1832.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,8.0,Splice Junction ,17.0,0.06898584905660378
67739,18520.0,G315.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,2.0,Splice Junction ,4.0,0.08167009163631232
20893,58.0,G974.1,IonXpress_SFPQ_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.005798260521843447
50289,53.0,G2656.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,11.0,Splice Junction ,22.0,0.0008813649516080753
52909,696.0,G2874.1,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.12035275808403943
52915,670.0,G2874.2,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.11585682171883106
41449,49.0,G2215.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,14.0,Splice Junction ,29.0,0.0001506686304836463
197,34191.0,G36.2,IonXpress_SFPQ_N,Splice Junction Intron from 5'-UTR to 5'-UTR to Exon from 5'-UTR to 5'-UTR,1.0,Splice Junction ,2.0,0.17013664274838028
52869,1060.0,G2857.3,IonXpress_SFPQ_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,2.0,0.1832958671969566
102292,553.0,G2474.1,IonXpress_NONO_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,1.0,0.16317497786957805
23378,1760.0,G1112.1,IonXpress_SFPQ_N,Splice Junction 5'-UTR to Exon from 5'-UTR to 3'-UTR,,Splice Junction ,1.0,0.23145712782745922
23384,1791.0,G1112.2,IonXpress_SFPQ_N,Splice Junction 5'-UTR to Exon from 5'-UTR to 3'-UTR,,Splice Junction ,1.0,0.2355339295107838
67717,2080.0,G307.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.003738196823251584
68849,0.0,G464.11,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to 3'-UTR to 3'-UTR,,Splice Junction ,2.0,0.0
21156,24.0,G980.1,IonXpress_SFPQ_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,11.0,Splice Junction ,23.0,0.0006900517538815411
67681,3300.0,G305.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.005930793036889532
78566,4799.0,G829.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,10.0,Splice Junction ,22.0,0.05694925713200741
83976,781.0,G1130.1,IonXpress_NONO_N,Splice Junction Exon from Coding_Region to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,3.0,0.012348607026531322
67627,9913.0,G303.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to 3'-UTR,1.0,Splice Junction ,18.0,0.01781574284081392
88950,432.0,G1420.1,IonXpress_NONO_N,Splice Junction Exon from 5'-UTR to Coding_Region to Intron from Coding_Region to Coding_Region,1.0,Splice Junction ,1.0,0.0013731810119581179
17412,1589.0,G682.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,12.0,0.0273814447201544
50252,14495.0,G2654.1,IonXpress_SFPQ_N,Splice Junction Exon in a ncRNA to Intron in a ncRNA,,Splice Junction ,3.0,0.09934886908841672
89909,449.0,G1507.1,IonXpress_NONO_N,Splice Junction Intron in a ncRNA to Exon in a ncRNA,,Splice Junction ,8.0,0.020211568759846952
84275,69.0,G1142.2,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,10.0,0.006630152781781493
84151,93.0,G1142.1,IonXpress_NONO_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,4.0,Splice Junction ,10.0,0.008936292879792447
29719,623.0,G1509.1,IonXpress_SFPQ_N,Splice Junction Intron from Coding_Region to Coding_Region to Exon from Coding_Region to Coding_Region,21.0,Splice Junction ,42.0,0.01731710028908161
