,transcript,MiSeqSFPQc.csv,MiSeqNONOc.csv,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
118,uc011log.1,['G3610.1'],,uc011log.1,chr9,-,33927794,34048947,33927878,34017143,17,"33927794,33933487,33935836,33941646,33943417,33944362,33948371,33953282,33956076,33960823,33963723,33986757,33988970,33996220,33998784,34017047,34048875,","33927990,33933626,33935876,33941860,33943587,33944637,33948585,33953472,33956144,33960876,33963789,33986835,33989124,33996331,33998862,34017187,34048947,",E7EWG4,uc011log.1,76151,uc011log.1,AK302335,E7EWG4,E7EWG4_HUMAN,UBAP2,,,"Homo sapiens ubiquitin associated protein 2 (UBAP2), mRNA.",,
119,uc003csf.3,['G2334.1'],,uc003csf.3,chr3,-,47952552,48130769,47952553,48040350,10,"47952552,47956306,47957440,47960208,47963254,47969717,48019354,48028872,48040127,48130262,","47953911,47956429,47958664,47960331,47963368,47969840,48019423,48028923,48040369,48130769,",P27816,uc003csf.3,52541,uc003csf.3,AK307606,P27816,MAP4_HUMAN,MAP4,NM_001134364,NP_001127836,"Homo sapiens microtubule-associated protein 4 (MAP4), transcript variant 4, mRNA.",,
120,uc002fng.1,['G1382.1' 'G1383.1' 'G1384.1' 'G1389.1'],['G1135.1'],uc002fng.1,chr16,-,89365282,89556969,89367221,89383427,5,"89365282,89371613,89383340,89484691,89556652,","89367370,89371752,89383486,89484776,89556969,",H3BNU4,uc002fng.1,29777,uc002fng.1,BC088729,H3BNU4,H3BNU4_HUMAN,ANKRD11,,,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 4, non-coding RNA.",,
121,uc031rcw.1,['G1438.1'],,uc031rcw.1,chr17,+,44590075,44627209,44590078,44625681,6,"44590075,44594727,44597577,44600449,44601169,44625677,","44592687,44594799,44597649,44600521,44601250,44627209,",A6NM11,uc031rcw.1,31078,uc031rcw.1,JQ790584,A6NM11,L37A2_HUMAN,LRRC37A2,,,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
122,uc002xuj.3,['G2035.1'],['G1619.1' 'G1619.2'],uc002xuj.3,chr20,+,47894714,47905795,47894714,47894714,5,"47894714,47895640,47897021,47897439,47905581,","47894934,47895745,47897107,47897501,47905795,",uc002xuj.3,,45889,uc002xuj.3,NR_003605,,,ZFAS1,NR_003605,,"Homo sapiens ZNFX1 antisense RNA 1 (ZFAS1), transcript variant 2, non-coding RNA.",,
123,uc022bah.1,['G3429.1'],,uc022bah.1,chr8,-,124169469,124169542,124169469,124169469,1,"124169469,","124169542,",uc022bah.1,,81611,uc022bah.1,,,,TRNA_Met,,,transfer RNA Met (anticodon CAT),,chr8.tRNA10-MetCAT
124,uc002fne.4,['G1382.1' 'G1383.1' 'G1384.1' 'G1389.1'],['G1135.1'],uc002fne.4,chr16,-,89353065,89556969,89353512,89371640,10,"89353065,89354935,89357032,89357420,89358088,89371613,89379724,89383340,89484691,89556652,","89353521,89355078,89357236,89357591,89358185,89371752,89379997,89383486,89484776,89556969,",uc002fne.4,,29774,uc002fne.4,NR_045839,,,ANKRD11,NR_045839,,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 4, non-coding RNA.",,
125,uc031rco.1,['G1438.1'],,uc031rco.1,chr17,+,44590075,44627209,44590078,44625681,3,"44590075,44594727,44625677,","44592687,44594799,44627209,",A6NM11,uc031rco.1,31086,uc031rco.1,JQ790661,A6NM11,L37A2_HUMAN,LRRC37A2,,,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
126,uc002fnc.2,['G1382.1' 'G1383.1' 'G1384.1' 'G1389.1'],['G1135.1'],uc002fnc.2,chr16,-,89334028,89556969,89334885,89383427,13,"89334028,89337224,89341221,89341500,89345479,89352446,89354935,89357032,89357420,89371613,89383340,89484691,89556652,","89335071,89337317,89341365,89341599,89352057,89352594,89355078,89357236,89357591,89371752,89383483,89484776,89556969,",Q6UB99,uc002fnc.2,29773,uc002fnc.2,NM_001256183,Q6UB99,ANR11_HUMAN,ANKRD11,NM_001256183,NP_037407,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 3, mRNA.",,
127,uc004cob.1,['G3590.1'],,uc004cob.1,chr9,+,140513443,140686705,140611085,140686572,16,"140513443,140611077,140622800,140637822,140638353,140646782,140648622,140652331,140657126,140669560,140671069,140672333,140674086,140676742,140685299,140686506,","140513501,140611634,140622981,140637980,140638542,140646860,140648743,140652463,140657272,140669704,140671296,140672507,140674169,140676849,140685422,140686705,",Q9H9B1-2,uc004cob.1,75827,uc004cob.1,AK022941,Q9H9B1-2,Q9H9B1-2,EHMT1,NM_001145527,NP_001138999,"Homo sapiens euchromatic histone-lysine N-methyltransferase 1 (EHMT1), transcript variant 1, mRNA.",,
128,uc011kug.2,['G3257.1'],['G2633.1'],uc011kug.2,chr7,-,148504463,148580601,148504737,148544390,19,"148504463,148506162,148506401,148507424,148508716,148511050,148512597,148513775,148514313,148514968,148516687,148523560,148524255,148525831,148526819,148529725,148543588,148544273,148580288,","148504798,148506247,148506482,148507506,148508812,148511229,148512638,148513870,148514483,148515209,148516779,148523724,148524358,148525972,148526940,148529842,148543690,148544397,148580601,",Q15910-5,uc011kug.2,71736,uc011kug.2,NM_001203249,Q15910-5,Q15910-5,EZH2,NM_001203249,NP_001190178,"Homo sapiens enhancer of zeste homolog 2 (Drosophila) (EZH2), transcript variant 5, mRNA.",,
129,uc031rcm.1,['G1438.1'],,uc031rcm.1,chr17,+,44590075,44627209,44590078,44625681,4,"44590075,44594727,44597577,44625677,","44592687,44594799,44597649,44627209,",A6NM11,uc031rcm.1,31083,uc031rcm.1,JQ790680,A6NM11,L37A2_HUMAN,LRRC37A2,,,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
130,uc021ygh.2,['G2714.1' 'G2715.1'],['G2184.1'],uc021ygh.2,chr5,+,154134888,154197167,154172232,154193656,20,"154134888,154135686,154169884,154170204,154172181,154173154,154173359,154173659,154174734,154179150,154179432,154181566,154182849,154183099,154183760,154185440,154188018,154190806,154191072,154193446,","154135256,154135753,154169946,154170270,154172356,154173283,154173560,154173822,154174879,154179319,154179602,154181959,154182973,154183305,154183867,154185592,154188163,154190916,154191200,154197167,",Q6PKG0,uc021ygh.2,58320,uc021ygh.2,AB018274,Q6PKG0,LARP1_HUMAN,LARP1,NM_015315,NP_056130,"Homo sapiens La ribonucleoprotein domain family, member 1 (LARP1), mRNA.",,
131,uc001ebk.3,['G87.1' 'G87.2'],['G64.1'],uc001ebk.3,chr1,+,112162404,112256101,112233982,112251857,9,"112162404,112170091,112233955,112237962,112240062,112245957,112246964,112251770,112255052,","112162556,112170185,112234039,112238031,112240119,112246098,112247108,112251886,112256101,",P62834,uc001ebk.3,2002,uc001ebk.3,NM_001010935,P62834,RAP1A_HUMAN,RAP1A,NM_001010935,NP_002875,"Homo sapiens RAP1A, member of RAS oncogene family (RAP1A), transcript variant 1, mRNA.",,
132,uc001zeu.3,['G1167.1'],['G965.1'],uc001zeu.3,chr15,+,30918878,30977810,30918878,30918878,11,"30918878,30922905,30925692,30926372,30927282,30927689,30930948,30936841,30938316,30939870,30977563,","30919152,30922976,30925789,30926626,30927391,30927836,30931023,30936905,30938498,30939917,30977810,",uc001zeu.3,,23633,uc001zeu.3,BC071990,,,ARHGAP11B,NM_001039841,,"Homo sapiens Rho GTPase activating protein 11B (ARHGAP11B), mRNA.",,
133,uc003fiy.2,['G2385.1' 'G2388.1'],['G1891.1' 'G1893.1' 'G1893.2'],uc003fiy.2,chr3,-,176769291,176915048,176769292,176782765,4,"176769291,176771560,176782707,176914908,","176769514,176771706,176782810,176915048,",C9IYU9,uc003fiy.2,53839,uc003fiy.2,BC060320,C9IYU9,C9IYU9_HUMAN,TBL1XR1,,,"Homo sapiens transducin (beta)-like 1 X-linked receptor 1 (TBL1XR1), mRNA.",,
134,uc003yyt.3,['G3491.1'],['G2886.1'],uc003yyt.3,chr8,-,144661866,144679845,144661961,144672251,10,"144661866,144662181,144662675,144663223,144663398,144668388,144668898,144671160,144674816,144679517,","144662000,144662376,144662897,144663324,144663498,144668460,144669022,144672251,144674830,144679845,",D3DWK1,uc003yyt.3,74247,uc003yyt.3,NM_001130053,D3DWK1,D3DWK1_HUMAN,EEF1D,NM_001130053,NP_115754,"Homo sapiens eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) (EEF1D), transcript variant 3, mRNA.",,
135,uc003wwu.3,['G3278.1' 'G3279.1' 'G3283.1'],['G2652.1'],uc003wwu.3,chr8,+,15397595,15624158,15397939,15621727,10,"15397595,15480588,15508205,15517015,15519664,15531255,15588174,15601046,15605883,15621711,","15398077,15480758,15508323,15517156,15519805,15531345,15588238,15601121,15605974,15624158,",Q13454-2,uc003wwu.3,72022,uc003wwu.3,NM_178234,Q13454-2,Q13454-2,TUSC3,NM_178234,NP_839952,"Homo sapiens tumor suppressor candidate 3 (TUSC3), transcript variant 2, mRNA.",,
136,uc011loc.1,['G3610.1'],,uc011loc.1,chr9,-,33921690,34048885,33922501,33998847,28,"33921690,33922684,33922963,33923183,33923376,33923792,33924203,33926614,33926986,33927794,33932559,33933487,33935836,33941646,33943417,33944362,33948371,33953282,33956076,33960823,33963723,33986757,33988970,33996220,33998784,34011624,34017047,34048822,","33922597,33922876,33923031,33923291,33923476,33923998,33924282,33926662,33927078,33927990,33932626,33933626,33935876,33941860,33943587,33944637,33948585,33953472,33956144,33960876,33963789,33986835,33989124,33996331,33998862,34011662,34017187,34048885,",Q5T6F2,uc011loc.1,76147,uc011loc.1,AK302754,Q5T6F2,UBAP2_HUMAN,UBAP2,,,"Homo sapiens ubiquitin associated protein 2 (UBAP2), mRNA.",,
137,uc002shx.3,['G1776.1'],,uc002shx.3,chr2,+,71558884,71662191,71576084,71661937,28,"71558884,71575882,71582848,71590282,71591083,71592558,71595511,71597012,71607351,71607642,71623270,71625830,71626688,71627241,71627607,71629085,71630999,71632730,71633257,71635251,71645731,71649943,71651779,71653589,71655676,71658456,71660294,71661871,","71559005,71577401,71582910,71590321,71591382,71592836,71595658,71597135,71607410,71607695,71623321,71625902,71626775,71627310,71627648,71629217,71631128,71632772,71633392,71635377,71645769,71651168,71651845,71654544,71655781,71658558,71660413,71662191,",Q14966,uc002shx.3,40845,uc002shx.3,NM_014497,Q14966,ZN638_HUMAN,ZNF638,NM_014497,NP_055312,"Homo sapiens zinc finger protein 638 (ZNF638), transcript variant 1, mRNA.",,
138,uc003ztr.2,['G3610.1'],,uc003ztr.2,chr9,-,33933487,34048885,33933489,33998847,16,"33933487,33935836,33941646,33943417,33944362,33948371,33953282,33956076,33960823,33963723,33986757,33988970,33998784,34011624,34017047,34048822,","33933626,33935876,33941860,33943587,33944637,33948585,33953472,33956144,33960876,33963789,33986835,33989124,33998862,34011662,34017187,34048885,",E7EWG4,uc003ztr.2,76152,uc003ztr.2,BC111409,E7EWG4,E7EWG4_HUMAN,UBAP2,,,"Homo sapiens ubiquitin associated protein 2 (UBAP2), mRNA.",,
139,uc003yyr.3,['G3491.1'],['G2886.1'],uc003yyr.3,chr8,-,144661866,144679845,144661961,144672251,10,"144661866,144662181,144662675,144663223,144663398,144668388,144668898,144671160,144672777,144679517,","144662000,144662376,144662897,144663324,144663498,144668460,144669022,144672251,144672908,144679845,",D3DWK1,uc003yyr.3,74248,uc003yyr.3,NM_032378,D3DWK1,D3DWK1_HUMAN,EEF1D,NM_032378,NP_115754,"Homo sapiens eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) (EEF1D), transcript variant 1, mRNA.",,
140,uc011kui.2,['G3257.1'],['G2633.1'],uc011kui.2,chr7,-,148513775,148581441,148514897,148544390,10,"148513775,148516687,148523560,148524255,148525831,148526819,148529725,148543561,148544273,148581255,","148515209,148516779,148523724,148524358,148525972,148526940,148529842,148543690,148544397,148581441,",B7Z8K5,uc011kui.2,71739,uc011kui.2,AK303585,B7Z8K5,B7Z8K5_HUMAN,EZH2,,,"Homo sapiens enhancer of zeste homolog 2 (Drosophila) (EZH2), transcript variant 3, mRNA.",,
141,uc003ufs.2,['G3118.1'],['G2531.1'],uc003ufs.2,chr7,+,76178657,76257299,76178657,76178657,3,"76178657,76180736,76255237,","76179178,76180839,76257299,",uc003ufs.2,,68928,uc003ufs.2,NR_029411,,,LOC100133091,NR_029411,,"Homo sapiens uncharacterized LOC100133091 (LOC100133091), non-coding RNA.",,
142,uc031rcs.1,['G1438.1'],,uc031rcs.1,chr17,+,44590075,44627209,44590078,44627209,8,"44590075,44594727,44600449,44601169,44617541,44618172,44623620,44625677,","44592687,44594799,44600521,44601250,44617613,44618247,44623739,44627209,",A6NM11,uc031rcs.1,31074,uc031rcs.1,JQ790598,A6NM11,L37A2_HUMAN,LRRC37A2,NM_001006607,NP_001006608,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
143,uc021qmb.1,['G638.1' 'G644.1'],['G493.1' 'G495.1'],uc021qmb.1,chr11,+,66384052,66413944,66384191,66413517,2,"66384052,66413497,","66384528,66413944,",D6RGD8,uc021qmb.1,12292,uc021qmb.1,NM_001198846,D6RGD8,D6RGD8_HUMAN,RBM14-RBM4,NM_001198846,NP_001185775,"Homo sapiens RBM14-RBM4 readthrough (RBM14-RBM4), transcript variant 2, mRNA.",,
144,uc003wfc.2,['G3257.1'],['G2633.1'],uc003wfc.2,chr7,-,148504463,148581441,148504737,148544390,19,"148504463,148506162,148506401,148507424,148508716,148511050,148512005,148512597,148513775,148514313,148514968,148516687,148523560,148524255,148525831,148526819,148543561,148544273,148581255,","148504798,148506247,148506482,148507506,148508812,148511229,148512131,148512638,148513870,148514483,148515209,148516779,148523724,148524358,148525972,148526940,148543690,148544397,148581441,",Q15910-3,uc003wfc.2,71734,uc003wfc.2,NM_152998,Q15910-3,Q15910-3,EZH2,NM_152998,NP_694543,"Homo sapiens enhancer of zeste homolog 2 (Drosophila) (EZH2), transcript variant 2, mRNA.",,
145,uc021pwo.1,['G366.1'],,uc021pwo.1,chr10,+,98379132,98379240,98379132,98379132,1,"98379132,","98379240,",uc021pwo.1,,81769,uc021pwo.1,,,,5S_rRNA,,,Rfam model RF00001 hit found at contig region AL138765.18/130673-130780,RF00001,
146,uc002kkf.1,['G1533.1'],,uc002kkf.1,chr18,+,158482,213739,158698,211284,16,"158482,163307,166786,178932,180235,192841,196636,197615,198046,199201,202879,203097,204563,209970,210385,211132,","158714,163453,166819,179037,180339,192900,196767,197696,198132,199316,202945,203190,204692,210031,210493,213739,",P54578,uc002kkf.1,34349,uc002kkf.1,NM_005151,P54578,UBP14_HUMAN,USP14,NM_005151,NP_005142,"Homo sapiens ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) (USP14), transcript variant 1, mRNA.",,
147,uc031rcq.1,['G1438.1'],,uc031rcq.1,chr17,+,44590075,44627209,44590078,44627209,9,"44590075,44594727,44597577,44600449,44601169,44617541,44618172,44623620,44625677,","44592687,44594799,44597649,44600521,44601250,44617613,44618247,44623757,44627209,",A6NM11,uc031rcq.1,31072,uc031rcq.1,JQ790563,A6NM11,L37A2_HUMAN,LRRC37A2,NM_001006607,NP_001006608,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
148,uc002fmx.2,['G1382.1' 'G1383.1' 'G1384.1' 'G1389.1'],['G1135.1'],uc002fmx.2,chr16,-,89334028,89556969,89334885,89383427,13,"89334028,89337224,89341221,89341500,89345479,89352446,89354935,89357032,89357420,89371613,89383340,89484691,89556652,","89335071,89337317,89341365,89341599,89352057,89352594,89355078,89357236,89357591,89371752,89383486,89484776,89556969,",Q6UB99,uc002fmx.2,29772,uc002fmx.2,NM_013275,Q6UB99,ANR11_HUMAN,ANKRD11,NM_013275,NP_037407,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 2, mRNA.",,
149,uc010jie.1,['G2714.1' 'G2715.1'],['G2184.1'],uc010jie.1,chr5,+,154136762,154183305,154172232,154183305,13,"154136762,154169884,154170204,154172181,154173154,154173359,154173659,154174734,154179150,154179432,154181566,154182849,154183099,","154136850,154169946,154170270,154172356,154173283,154173560,154173822,154174879,154179319,154179602,154181959,154182973,154183305,",Q6PKG0,uc010jie.1,58322,uc010jie.1,AK307554,Q6PKG0,LARP1_HUMAN,LARP1,NM_015315,NP_056130,"Homo sapiens La ribonucleoprotein domain family, member 1 (LARP1), mRNA.",,
150,uc003ezm.3,['G2286.1'],,uc003ezm.3,chr3,+,152017193,152183569,152017982,152177116,9,"152017193,152132729,152150505,152163070,152164492,152165408,152174055,152177059,152180173,","152018156,152132900,152150709,152163328,152164546,152165562,152174150,152177134,152183569,",Q9NR56,uc003ezm.3,51577,uc003ezm.3,NM_207293,Q9NR56,MBNL1_HUMAN,MBNL1,NM_207293,NP_997176,"Homo sapiens muscleblind-like splicing regulator 1 (MBNL1), transcript variant 3, mRNA.",,
151,uc004euc.3,['G3739.1'],,uc004euc.3,chrX,+,123095555,123236505,123156477,123234447,35,"123095555,123155216,123156380,123159689,123164810,123171376,123176418,123179013,123181203,123182854,123184035,123184970,123185164,123189977,123191715,123195073,123195620,123196751,123196965,123197697,123199725,123200024,123200205,123202413,123204998,123210181,123211806,123215229,123217270,123220396,123224424,123224703,123227867,123229221,123234423,","123095706,123155281,123156521,123159768,123164975,123171473,123176495,123179218,123181355,123182928,123184159,123185069,123185244,123190085,123191827,123195191,123195724,123196844,123197055,123197901,123199796,123200112,123200286,123202506,123205173,123210321,123211908,123215378,123217399,123220620,123224614,123224814,123227994,123229299,123236505,",Q8N3U4-2,uc004euc.3,78766,uc004euc.3,NM_001042750,Q8N3U4-2,Q8N3U4-2,STAG2,NM_001042750,NP_001036215,"Homo sapiens stromal antigen 2 (STAG2), transcript variant 2, mRNA.",,
152,uc002shz.3,['G1776.1'],,uc002shz.3,chr2,+,71558884,71662191,71576084,71661937,28,"71558884,71575882,71582848,71590282,71591083,71592558,71595511,71597012,71607351,71607642,71623270,71625830,71626688,71627241,71627607,71629085,71630999,71632730,71633257,71635251,71645731,71649943,71651779,71653589,71655676,71658456,71660357,71661871,","71559005,71577401,71582910,71590321,71591382,71592836,71595658,71597135,71607410,71607695,71623321,71625902,71626775,71627310,71627648,71629217,71631128,71632772,71633392,71635377,71645769,71651168,71651845,71654544,71655781,71658558,71660413,71662191,",Q14966-3,uc002shz.3,40846,uc002shz.3,NM_001252613,Q14966-3,Q14966-3,ZNF638,NM_001252613,NP_001239542,"Homo sapiens zinc finger protein 638 (ZNF638), transcript variant 4, mRNA.",,
153,uc001set.3,['G828.1'],,uc001set.3,chr12,+,54410641,54429144,54410641,54410641,2,"54410641,54428061,","54411198,54429144,",uc001set.3,,16394,uc001set.3,NR_003084,,,HOXC5,NR_003084,,"Homo sapiens homeobox C5 (HOXC5), transcript variant 2, non-coding RNA.",,
154,uc004eua.3,['G3739.1'],,uc004eua.3,chrX,+,123094474,123236505,123156477,123234447,35,"123094474,123155216,123156380,123159689,123164810,123171376,123176418,123179013,123181203,123182854,123184035,123184970,123185164,123189977,123191715,123195073,123195620,123196751,123196965,123197697,123199725,123200024,123200205,123202413,123204998,123210181,123211806,123215229,123217270,123220396,123224424,123224703,123227867,123229221,123234423,","123094716,123155281,123156521,123159768,123164975,123171473,123176495,123179218,123181355,123182928,123184159,123185069,123185244,123190085,123191827,123195191,123195724,123196844,123197055,123197901,123199796,123200112,123200286,123202506,123205173,123210321,123211908,123215378,123217399,123220620,123224614,123224814,123227994,123229299,123236505,",Q8N3U4-2,uc004eua.3,78767,uc004eua.3,NM_001042749,Q8N3U4-2,Q8N3U4-2,STAG2,NM_001042749,NP_001036215,"Homo sapiens stromal antigen 2 (STAG2), transcript variant 1, mRNA.",,
155,uc010wyr.1,['G1533.1'],,uc010wyr.1,chr18,+,158482,213739,158698,211284,15,"158482,163307,178932,180235,192841,196636,197615,198046,199201,202879,203097,204563,209970,210385,211132,","158714,163453,179037,180339,192900,196767,197696,198132,199316,202945,203190,204692,210031,210493,213739,",B7Z4N8,uc010wyr.1,34351,uc010wyr.1,AK297605,B7Z4N8,B7Z4N8_HUMAN,USP14,NM_005151,NP_005142,"Homo sapiens ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase) (USP14), transcript variant 1, mRNA.",,
156,uc010ymp.2,['G1746.1'],,uc010ymp.2,chr2,+,30670122,30867091,30785019,30863485,6,"30670122,30755981,30775358,30785011,30790925,30862982,","30670270,30756180,30775515,30785158,30791042,30867091,",Q6UWP7,uc010ymp.2,40519,uc010ymp.2,AK297262,Q6UWP7,LCLT1_HUMAN,LCLAT1,,,"Homo sapiens lysocardiolipin acyltransferase 1 (LCLAT1), transcript variant 1, mRNA.",,
157,uc031rck.1,['G1438.1'],,uc031rck.1,chr17,+,44590075,44627209,44590078,44625681,5,"44590075,44594727,44600449,44601169,44625677,","44592687,44594799,44600521,44601250,44627209,",A6NM11,uc031rck.1,31081,uc031rck.1,JQ790713,A6NM11,L37A2_HUMAN,LRRC37A2,,,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
158,uc001bgp.4,['G194.1' 'G195.1'],,uc001bgp.4,chr1,-,23636275,23670853,23636946,23667501,11,"23636275,23637693,23640045,23644975,23648020,23650048,23660010,23664246,23664982,23667344,23670703,","23637559,23637815,23640195,23645190,23648156,23650225,23660124,23664354,23665101,23667510,23670853,",O43390-2,uc001bgp.4,4537,uc001bgp.4,NM_001102398,O43390-2,O43390-2,HNRNPR,NM_001102398,NP_001095869,"Homo sapiens heterogeneous nuclear ribonucleoprotein R (HNRNPR), transcript variant 1, mRNA.",,
159,uc002hdx.4,['G1499.1'],['G1205.1'],uc002hdx.4,chr17,-,27582853,27621166,27591556,27621077,3,"27582853,27594515,27620800,","27591609,27594548,27621166,",A1L3A6,uc002hdx.4,32716,uc002hdx.4,AK297732,A1L3A6,A1L3A6_HUMAN,NUFIP2,,,"Homo sapiens nuclear fragile X mental retardation protein interacting protein 2 (NUFIP2), mRNA.",,
160,uc031rci.1,['G1438.1'],,uc031rci.1,chr17,+,44590075,44627209,44590078,44627209,6,"44590075,44594727,44617541,44618172,44623620,44625677,","44592687,44594799,44617613,44618247,44623739,44627209,",A6NM11,uc031rci.1,31079,uc031rci.1,JQ790597,A6NM11,L37A2_HUMAN,LRRC37A2,NM_001006607,NP_001006608,"Homo sapiens leucine rich repeat containing 37, member A2 (LRRC37A2), mRNA.",,
161,uc003fiw.4,['G2385.1' 'G2388.1'],['G1891.1' 'G1893.1' 'G1893.2'],uc003fiw.4,chr3,-,176738541,176914266,176743285,176782765,16,"176738541,176744160,176750758,176751985,176755885,176756100,176763916,176765087,176765273,176767784,176768265,176769291,176771560,176782707,176816253,176914127,","176743312,176744262,176750924,176752113,176755960,176756222,176763977,176765185,176765337,176767926,176768398,176769514,176771706,176782810,176816329,176914266,",Q9BZK7,uc003fiw.4,53837,uc003fiw.4,BX648935,Q9BZK7,TBL1R_HUMAN,TBL1XR1,NM_024665,NP_078941,"Homo sapiens transducin (beta)-like 1 X-linked receptor 1 (TBL1XR1), mRNA.",,
162,uc001ebi.3,['G87.1' 'G87.2'],['G64.1'],uc001ebi.3,chr1,+,112085054,112256101,112233982,112251857,8,"112085054,112233955,112237962,112240062,112245957,112246964,112251770,112255052,","112085131,112234039,112238031,112240119,112246098,112247108,112251886,112256101,",P62834,uc001ebi.3,2004,uc001ebi.3,M22995,P62834,RAP1A_HUMAN,RAP1A,NM_002884,NP_002875,"Homo sapiens RAP1A, member of RAS oncogene family (RAP1A), transcript variant 2, mRNA.",,
163,uc004etz.4,['G3739.1'],,uc004etz.4,chrX,+,123094474,123236505,123156477,123234447,33,"123094474,123156380,123159689,123164810,123171376,123176418,123179013,123181203,123182854,123184035,123184970,123185164,123189977,123191715,123195073,123195620,123196751,123196965,123197697,123199725,123200024,123200205,123202413,123204998,123210181,123211806,123215229,123217270,123220396,123224424,123227867,123229221,123234423,","123094716,123156521,123159768,123164975,123171473,123176495,123179218,123181355,123182928,123184159,123185069,123185244,123190085,123191827,123195191,123195724,123196844,123197055,123197901,123199796,123200112,123200286,123202506,123205173,123210321,123211908,123215378,123217399,123220620,123224614,123227994,123229299,123236505,",Q8N3U4,uc004etz.4,78770,uc004etz.4,AK313559,Q8N3U4,STAG2_HUMAN,STAG2,NM_006603,NP_006594,"Homo sapiens stromal antigen 2 (STAG2), transcript variant 1, mRNA.",,
164,uc001bgr.4,['G194.1' 'G195.1'],,uc001bgr.4,chr1,-,23636275,23670853,23636946,23667501,11,"23636275,23637693,23640045,23644975,23648020,23650048,23660010,23664246,23664982,23667344,23670703,","23637559,23637815,23640195,23645181,23648156,23650225,23660124,23664354,23665101,23667510,23670853,",O43390,uc001bgr.4,4536,uc001bgr.4,NM_005826,O43390,HNRPR_HUMAN,HNRNPR,NM_005826,NP_001095867,"Homo sapiens heterogeneous nuclear ribonucleoprotein R (HNRNPR), transcript variant 2, mRNA.",,
165,uc003csg.3,['G2334.1'],,uc003csg.3,chr3,-,48014568,48130769,48016947,48040350,4,"48014568,48019354,48040127,48130262,","48016955,48019423,48040369,48130769,",P27816-7,uc003csg.3,52539,uc003csg.3,NM_030885,P27816-7,P27816-7,MAP4,NM_030885,NP_112147,"Homo sapiens microtubule-associated protein 4 (MAP4), transcript variant 3, mRNA.",,
166,uc010bfs.3,['G1179.1'],,uc010bfs.3,chr15,+,57210832,57580714,57565291,57574785,6,"57210832,57212089,57213223,57565227,57574642,57578354,","57211104,57212186,57213296,57565460,57574796,57580714,",uc010bfs.3,,24044,uc010bfs.3,AK310708,,,TCF12,,,"Homo sapiens transcription factor 12 (TCF12), transcript variant 3, mRNA.",,
167,uc003yyv.3,['G3491.1'],['G2886.1'],uc003yyv.3,chr8,-,144661866,144679845,144661961,144669015,7,"144661866,144662181,144662675,144663223,144663398,144668898,144679517,","144662000,144662376,144662897,144663324,144663498,144669022,144679845,",P29692-3,uc003yyv.3,74252,uc003yyv.3,NM_001130056,P29692-3,P29692-3,EEF1D,NM_001130056,NP_001123528,"Homo sapiens eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) (EEF1D), transcript variant 7, mRNA.",,
168,uc003qee.4,['G2898.1' 'G2898.2'],,uc003qee.4,chr6,+,133562494,133853258,133595918,133849943,19,"133562494,133595853,133703529,133767767,133777693,133782251,133783472,133783758,133785916,133789703,133802600,133804169,133827243,133833858,133834015,133836458,133844193,133846291,133849862,","133562887,133595951,133703579,133767892,133777786,133782318,133783615,133783902,133785996,133789869,133802737,133804253,133827333,133833917,133834176,133836573,133844315,133846392,133853258,",O95677-2,uc003qee.4,61843,uc003qee.4,NM_172103,O95677-2,O95677-2,EYA4,NM_172103,NP_742101,"Homo sapiens eyes absent homolog 4 (Drosophila) (EYA4), transcript variant 2, mRNA.",,
169,uc009vyw.1,['G218.1'],,uc009vyw.1,chr1,-,50906934,51425525,50906934,50906934,16,"50906934,50941135,50956259,50957392,51001040,51005263,51032748,51048289,51049323,51171551,51204534,51210355,51253671,51267302,51323600,51425438,","50907195,50941351,50956337,50957473,51001129,51005400,51032903,51048371,51049334,51171563,51204626,51210447,51253877,51267349,51323669,51425525,",uc009vyw.1,,5196,uc009vyw.1,AF094700,,,FAF1,,,"Homo sapiens Fas (TNFRSF6) associated factor 1 (FAF1), mRNA.",,
